Site,Date,Latitude,Longitude,Project,Depth,Rep,Type,DOC,DOCFlag,POC,POCFlag,POC2,POC2Flag,NO3,NO3Flag,NH3,NH3Flag,TDN,TDNFlag,PON,PONFlag,PON2,PON2Flag,SRP,SRPFlag,TDP,TDPFlag,PP,PPFlag,TP,TPFlag,SRSi,SiFlag,Chl,ChlFlag,Chl2,Chl2Flag,Phyco,PhycoFlag,TSS,TSSFlag
Mawikwe Bay,5/31/2017,46.8858,-91.0527,NPS,0,1,Lake,128,none,16.8,none,4.78,none,27.4,none,0.212,none,28,none,1.46,none,0.436,none,0.0515,none,0.329,none,0.068,none,0.291,none,42.9,none,1.17,none,0.07,none,NA,none,NA,none
Mawikwe Bay,5/31/2017,46.8858,-91.0527,NPS,0,2,Lake,126,none,14.4,none,5.1,none,NA,none,NA,none,30.5,none,1.83,none,0.341,none,NA,none,NA,none,0.07,none,NA,none,NA,none,0.995,none,0.107,none,NA,none,NA,none
Sand West,5/31/2017,46.974,-90.9868,NPS,0,1,Lake,127,none,14.8,none,2.79,none,28.4,none,0.19,none,32.6,none,1.85,none,0.545,none,0.098,bdl,0.416,none,0.111,none,0.275,none,40.2,none,1.02,none,0.048,none,NA,none,NA,none
Sand West,5/31/2017,46.974,-90.9868,NPS,0,2,Lake,121,none,14.7,none,4.22,none,NA,none,NA,none,30.1,none,1.79,none,0.478,none,NA,none,NA,none,0.098,none,NA,none,NA,none,0.599,none,0.044,none,NA,none,NA,none
Brule River,6/1/2017,46.7053,-91.6039,NPS,0,1,Watershed,570,none,112,none,8.45,none,1.63,none,0.248,none,20.1,none,9.7,none,1.37,none,0.314,none,0.614,none,0.729,none,0.882,none,179,none,3.54,none,0.236,none,NA,none,NA,none
Brule River,6/1/2017,46.7053,-91.6039,NPS,0,2,Watershed,573,none,679,none,10.1,none,NA,none,NA,none,18.1,none,43.6,none,0.922,none,NA,none,NA,none,0.727,none,NA,none,NA,none,4.14,none,0.228,none,NA,none,NA,none
Flag River,6/1/2017,46.7818,-91.3725,NPS,0,1,Watershed,298,none,54.3,none,11.3,none,1.69,none,0.577,none,12.6,none,4.01,none,1.15,none,0.475,none,0.824,none,0.434,none,0.929,none,219,none,0.395,none,0.116,none,NA,none,NA,none
Flag River,6/1/2017,46.7818,-91.3725,NPS,0,2,Watershed,305,none,48.1,none,10.3,none,NA,none,NA,none,12.4,none,3.99,none,1.14,none,NA,none,NA,none,0.697,none,NA,none,NA,none,0.312,none,0.092,none,NA,none,NA,none
Siskiwit River,6/1/2017,46.8547,-91.0916,NPS,0,1,Watershed,739,none,42.1,none,10.1,none,0.746,none,0.264,none,24.2,none,4.26,none,1.76,none,0.38,none,0.723,none,0.415,none,0.988,none,129,none,1.01,none,0.204,none,NA,none,NA,none
Siskiwit River,6/1/2017,46.8547,-91.0916,NPS,0,2,Watershed,729,none,41.8,none,14.5,none,NA,none,NA,none,22.2,none,4.21,none,1.73,none,NA,none,NA,none,0.435,none,NA,none,NA,none,1.16,none,0.276,none,NA,none,NA,none
Wisconsin Point,6/1/2017,46.7074,-92.0126,NPS,0,1,Lake,2390,none,40.8,none,16.7,none,12.2,none,NA,none,60.3,none,4.68,none,2.01,none,0.156,none,0.58,none,0.373,none,0.924,none,85.5,none,1.46,none,0.231,none,NA,none,NA,none
Wisconsin Point,6/1/2017,46.7074,-92.0126,NPS,0,2,Lake,2390,none,37.8,none,12.1,none,NA,none,NA,none,60.9,none,4.44,none,1.8,none,NA,none,NA,none,0.383,none,NA,none,NA,none,1.84,none,0.204,none,NA,none,NA,none
Brule River,6/21/2017,46.7053,-91.6039,NPS,0,1,Watershed,576,none,51.7,none,9.3,none,NA,bdl,0.15,none,14,none,4.92,none,1.37,none,0.381,none,0.628,none,0.397,none,0.904,none,204,none,1.21,none,0.14,none,NA,none,NA,none
Brule River,6/21/2017,46.7053,-91.6039,NPS,0,2,Watershed,476,none,57.5,none,9.33,none,NA,none,NA,none,14.1,none,5.75,none,2.29,none,NA,none,NA,none,0.404,none,NA,none,NA,none,1.17,none,0.181,none,NA,none,NA,none
Mawikwe Bay,6/21/2017,46.8858,-91.0527,NPS,0,1,Lake,397,none,22.5,none,5.75,none,26.8,none,0.211,none,25.5,none,2.91,none,0.705,none,0.124,none,0.49,none,0.205,none,0.383,none,48.4,none,1.11,none,0.051,none,NA,none,NA,none
Mawikwe Bay,6/21/2017,46.8858,-91.0527,NPS,0,2,Lake,419,none,24.5,none,6.55,none,NA,none,NA,none,31.1,none,3.1,none,0.89,none,NA,none,NA,none,0.218,none,NA,none,NA,none,0.755,none,0.038,none,NA,none,NA,none
Wisconsin Point,6/21/2017,46.7074,-92.0126,NPS,0,1,Lake,1120,none,53.5,none,11.6,none,20.7,none,NA,none,40.6,none,5.46,none,0.796,none,0.389,none,0.508,none,0.365,none,0.821,none,53.4,none,3.48,none,0.111,none,NA,none,NA,none
Wisconsin Point,6/21/2017,46.7074,-92.0126,NPS,0,2,Lake,1050,none,55.5,none,17.9,none,NA,none,NA,none,41.6,none,4.53,none,1.55,none,NA,none,NA,none,0.427,none,NA,none,NA,none,3.46,none,0.132,none,NA,none,NA,none
Mawikwe Bay,7/13/2017,46.8858,-91.0527,NPS,0,1,Lake,154,none,13.9,none,7.98,none,26.3,none,0.491,none,30.3,none,1.77,none,0.619,none,0.056,bdl,0.456,none,0.064,none,0.328,none,28.7,none,0.539,none,0.079,none,NA,none,NA,none
Mawikwe Bay,7/13/2017,46.8858,-91.0527,NPS,0,2,Lake,159,none,16.4,none,6.48,none,NA,none,NA,none,30.8,none,1.74,none,0.428,none,NA,none,NA,none,0.052,none,NA,none,NA,none,0.451,none,0.085,none,NA,none,NA,none
Sand West,7/13/2017,46.974,-90.9868,NPS,0,1,Lake,156,none,12.4,none,8.76,none,28.9,none,0.406,none,29.6,none,1.72,none,0.902,none,0.353,bdl,0.619,none,0.056,none,0.36,none,41.5,none,0.844,none,0.031,none,NA,none,NA,none
Sand West,7/13/2017,46.974,-90.9868,NPS,0,2,Lake,152,none,17,none,9.9,none,NA,none,NA,none,31,none,1.71,none,0.733,none,NA,none,NA,none,0.053,none,NA,none,NA,none,0.656,none,0.036,none,NA,none,NA,none
Siskiwit River,7/13/2017,46.8547,-91.0916,NPS,0,1,Watershed,365,none,25.9,none,8.9,none,2.4,none,0.266,none,12.8,none,2.07,none,1.21,none,0.49,none,0.846,none,0.21,none,1.037,none,161,none,0.835,none,0.24,none,NA,none,NA,none
Siskiwit River,7/13/2017,46.8547,-91.0916,NPS,0,2,Watershed,369,none,34.2,none,10.4,none,NA,none,NA,none,12.9,none,2.97,none,0.765,none,NA,none,NA,none,0.21,none,NA,none,NA,none,0.797,none,0.334,none,NA,none,NA,none
Brule River,7/14/2017,46.7053,-91.6039,NPS,0,1,Watershed,541,none,58.4,none,15.3,none,1.26,none,0.907,none,21.5,none,5.35,none,1.62,none,0.3,none,0.649,none,0.361,none,1.011,none,198,none,1.82,none,0.306,none,NA,none,NA,none
Brule River,7/14/2017,46.7053,-91.6039,NPS,0,2,Watershed,569,none,63.2,none,17,none,NA,none,NA,none,23.6,none,5.63,none,1.39,none,NA,none,NA,none,0.369,none,NA,none,NA,none,1.26,none,0.323,none,NA,none,NA,none
Flag River,7/14/2017,46.7818,-91.3725,NPS,0,1,Watershed,180,none,35.9,none,7.38,none,3.14,none,0.513,none,8.92,none,2.61,none,0.734,none,0.488,none,0.631,none,0.269,none,0.798,none,225,none,0.418,none,0.146,none,NA,none,NA,none
Flag River,7/14/2017,46.7818,-91.3725,NPS,0,2,Watershed,160,none,46.2,none,7.89,none,NA,none,NA,none,8.28,none,3.15,none,0.798,none,NA,none,NA,none,0.284,none,NA,none,NA,none,0.516,none,0.155,none,NA,none,NA,none
Wisconsin Point,7/14/2017,46.7074,-92.0126,NPS,0,1,Lake,976,none,59.4,none,9.36,none,19.6,none,NA,none,50.1,none,4.2,none,0.683,none,0.318,none,0.782,none,0.504,none,1.055,none,95.1,none,1.67,none,0.233,none,NA,none,NA,none
Wisconsin Point,7/14/2017,46.7074,-92.0126,NPS,0,2,Lake,969,none,57.4,none,11,none,NA,none,NA,none,49.1,none,4.78,none,0.741,none,NA,none,NA,none,0.504,none,NA,none,NA,none,1.41,none,0.197,none,NA,none,NA,none
Brule River,8/2/2017,46.7053,-91.6039,NPS,0,1,Watershed,241,none,51.6,none,9.94,none,NA,bdl,0.15,none,10.2,none,4.88,none,0.927,none,0.312,none,0.4,none,0.307,none,0.575,none,188,none,0.896,none,0.318,none,NA,none,NA,none
Brule River,8/2/2017,46.7053,-91.6039,NPS,0,2,Watershed,240,none,58.4,none,9.16,none,NA,none,NA,none,10.4,none,5.37,none,1.28,none,NA,none,NA,none,0.304,none,NA,none,NA,none,0.897,none,0.255,none,NA,none,NA,none
Mawikwe Bay,8/2/2017,46.8858,-91.0527,NPS,0,1,Lake,193,none,24.8,none,6.67,none,26.8,none,0.258,none,29.9,none,2.43,none,0.576,none,0,bdl,0.255,none,0.084,none,0.158,none,42.2,none,1.81,none,0.089,none,NA,none,NA,none
Mawikwe Bay,8/2/2017,46.8858,-91.0527,NPS,0,1,Lake,193,none,24.8,none,6.67,none,26.8,none,0.258,none,29.9,none,2.43,none,0.576,none,0,bdl,0.255,none,0.084,none,0.158,none,42.2,none,1.81,none,0.089,none,NA,none,NA,none
Mawikwe Bay,8/2/2017,46.8858,-91.0527,NPS,0,2,Lake,196,none,22.1,none,6.88,none,NA,none,NA,none,33,none,2.56,none,1.02,none,NA,none,NA,none,0.08,none,NA,none,NA,none,1.71,none,0.103,none,NA,none,NA,none
Wisconsin Point,8/2/2017,46.7074,-92.0126,NPS,0,1,Lake,363,none,28.8,none,5.29,none,26.6,none,1.1,none,34.8,none,3.31,none,0.734,none,0.085,none,0.327,none,0.205,none,0.431,none,54.4,none,1.73,none,0.115,none,NA,none,NA,none
Wisconsin Point,8/2/2017,46.7074,-92.0126,NPS,0,2,Lake,357,none,30.7,none,11.1,none,NA,none,NA,none,35,none,2.78,none,0.69,none,NA,none,NA,none,0.166,none,NA,none,NA,none,1.68,none,0.106,none,NA,none,NA,none
Brule River,8/22/2017,46.7053,-91.6039,NPS,0,1,Watershed,1640,none,49.4,none,7.5,none,NA,bdl,0.226,none,27.8,none,5.26,none,1,none,0.216,none,0.378,none,0.316,none,0.722,none,331,none,1.51,none,0.199,none,NA,none,NA,none
Brule River,8/22/2017,46.7053,-91.6039,NPS,0,2,Watershed,1620,none,49.7,none,7.89,none,NA,none,NA,none,26.7,none,4,none,1.08,none,NA,none,NA,none,0.322,none,NA,none,NA,none,1.04,none,0.17,none,NA,none,NA,none
Flag River,8/22/2017,46.7818,-91.3725,NPS,0,1,Watershed,886,none,71.9,none,16.8,none,0.771,none,0.596,none,22.9,none,5.52,none,1.46,none,0.292,none,0.533,none,0.539,none,1.062,none,246,none,0.68,none,0.108,none,NA,none,NA,none
Flag River,8/22/2017,46.7818,-91.3725,NPS,0,2,Watershed,906,none,71.1,none,8.53,none,NA,none,NA,none,22.8,none,5.48,none,0.79,none,NA,none,NA,none,0.567,none,NA,none,NA,none,0.863,none,0.11,none,NA,none,NA,none
Siskiwit River,8/22/2017,46.8547,-91.0916,NPS,0,1,Watershed,1310,none,49.4,none,8.09,none,NA,bdl,0.245,none,22.3,none,4.73,none,0.985,none,0.298,none,0.534,none,0.477,none,1.095,none,162,none,2.67,none,0.246,none,NA,none,NA,none
Siskiwit River,8/22/2017,46.8547,-91.0916,NPS,0,2,Watershed,1250,none,35.9,none,9.59,none,NA,none,NA,none,24.4,none,3.44,none,1.08,none,NA,none,NA,none,0.469,none,NA,none,NA,none,2.63,none,0.221,none,NA,none,NA,none
Wisconsin Point,8/22/2017,46.7074,-92.0126,NPS,0,1,Lake,3700,none,89,none,28.5,none,12.4,none,NA,none,99.8,none,10.6,none,1.65,none,0.573,none,0.864,none,0.803,none,1.271,none,119,none,7.18,none,0.202,none,NA,none,NA,none
Wisconsin Point,8/22/2017,46.7074,-92.0126,NPS,0,2,Lake,3710,none,95.7,none,26.3,none,NA,none,NA,none,101,none,13.3,none,0.927,none,NA,none,NA,none,0.811,none,NA,none,NA,none,7.82,none,0.215,none,NA,none,NA,none
Mawikwe Bay,8/23/2017,46.8858,-91.0527,NPS,0,1,Lake,515,none,20.3,none,4.73,none,21.8,none,0.714,none,48.5,none,1.33,none,0.468,none,NA,bdl,0.133,none,0.058,none,0.311,none,35.4,none,0.664,none,0.054,none,NA,none,NA,none
Mawikwe Bay,8/23/2017,46.8858,-91.0527,NPS,0,2,Lake,588,none,11.7,none,4.83,none,NA,none,NA,none,50.3,none,1.26,none,0.588,none,NA,none,NA,none,0.061,none,NA,none,NA,none,0.602,none,0.053,none,NA,none,NA,none
Sand West,8/23/2017,46.974,-90.9868,NPS,0,1,Lake,490,none,10.5,none,3.33,none,22.8,none,0.664,none,47.8,none,1.31,none,0.423,none,0.025,none,0.101,none,0.049,none,0.309,none,35.8,none,0.419,none,0.027,none,NA,none,NA,none
Sand West,8/23/2017,46.974,-90.9868,NPS,0,2,Lake,511,none,10.3,none,3.23,none,NA,none,NA,none,48.1,none,1.07,none,0.335,none,NA,none,NA,none,0.055,none,NA,none,NA,none,0.403,none,0.027,none,NA,none,NA,none
Brule River,9/13/2017,46.7053,-91.6039,NPS,0,1,Watershed,446,none,35.7,none,7.83,none,NA,bdl,0.182,none,10.6,none,3.36,none,1.13,none,0.18,none,0.386,none,0.247,none,0.671,none,181,none,1.09,none,0.201,none,NA,none,NA,none
Brule River,9/13/2017,46.7053,-91.6039,NPS,0,2,Watershed,382,none,38.5,none,8.17,none,NA,none,NA,none,11.5,none,3.82,none,1.19,none,NA,none,NA,none,0.239,none,NA,none,NA,none,1.21,none,0.184,none,NA,none,NA,none
Mawikwe Bay,9/13/2017,46.8858,-91.0527,NPS,0,1,Lake,227,none,24.3,none,4.55,none,22.9,none,0.387,none,31.6,none,1.81,none,0.362,none,0.079,none,0.27,none,0.073,none,0.308,none,32.1,none,0.56,none,0.013,none,NA,none,NA,none
Mawikwe Bay,9/13/2017,46.8858,-91.0527,NPS,0,2,Lake,351,none,28.3,none,3.92,none,NA,none,NA,none,31.9,none,2.06,none,0.51,none,NA,none,NA,none,0.065,none,NA,none,NA,none,0.726,none,0.024,none,NA,none,NA,none
Wisconsin Point,9/13/2017,46.7074,-92.0126,NPS,0,1,Lake,1560,none,57.2,none,15.4,none,16.8,none,3.15,none,69.2,none,6.21,none,1.52,none,0.141,none,0.423,none,0.587,none,1.383,none,98.4,none,3.05,none,0.141,none,NA,none,NA,none
Wisconsin Point,9/13/2017,46.7074,-92.0126,NPS,0,2,Lake,1610,none,60,none,13.8,none,NA,none,NA,none,68.2,none,6.24,none,1.64,none,NA,none,NA,none,0.547,none,NA,none,NA,none,2.78,none,0.132,none,NA,none,NA,none
Brule River,10/4/2017,46.7053,-91.6039,NPS,0,1,Watershed,1310,none,427,none,45.1,none,4.03,none,0.723,none,51.3,none,36.1,none,3.36,none,0.55,none,1.07,none,3.63,none,6.204,none,114,none,1.84,none,0.387,none,NA,none,NA,none
Brule River,10/4/2017,46.7053,-91.6039,NPS,0,2,Watershed,1290,none,422,none,52.1,none,NA,none,NA,none,44.8,none,33.1,none,4.2,none,NA,none,NA,none,3.56,none,NA,none,NA,none,2.08,none,0.431,none,NA,none,NA,none
Flag River,10/4/2017,46.7818,-91.3725,NPS,0,1,Watershed,1540,none,748,none,48.3,none,2.02,none,0.336,none,47.8,none,54.3,none,4.46,none,1.31,none,1.76,none,7.46,none,8.907,none,126,none,0.912,none,0.171,none,NA,none,NA,none
Flag River,10/4/2017,46.7818,-91.3725,NPS,0,2,Watershed,1570,none,731,none,47.9,none,NA,none,NA,none,47,none,49.8,none,4.76,none,NA,none,NA,none,8.27,none,NA,none,NA,none,1,none,0.182,none,NA,none,NA,none
Mawikwe Bay,10/4/2017,46.8858,-91.0527,NPS,0,1,Lake,145,none,13.2,none,5.05,none,21.1,none,0.652,none,33.1,none,1.41,none,0.543,none,0.085,none,0.185,none,0.063,none,0.178,none,33.7,none,0.741,none,0.027,none,NA,none,NA,none
Mawikwe Bay,10/4/2017,46.8858,-91.0527,NPS,0,2,Lake,148,none,12.7,none,5.33,none,NA,none,NA,none,32.8,none,1.37,none,0.51,none,NA,none,NA,none,0.059,none,NA,none,NA,none,0.844,none,0.037,none,NA,none,NA,none
Sand West,10/4/2017,46.974,-90.9868,NPS,0,1,Lake,158,none,13.9,none,5.61,none,21.9,none,0.715,none,29.1,none,1.63,none,0.341,none,0.081,none,0.18,none,0.06,none,0.156,none,31.2,none,0.653,none,0.018,none,NA,none,NA,none
Sand West,10/4/2017,46.974,-90.9868,NPS,0,2,Lake,153,none,14.5,none,5.39,none,NA,none,NA,none,34.3,none,1.43,none,0.303,none,NA,none,NA,none,0.059,none,NA,none,NA,none,0.679,none,0.053,none,NA,none,NA,none
Siskiwit River,10/4/2017,46.8547,-91.0916,NPS,0,1,Watershed,1620,none,421,none,62.5,none,2.69,none,0.487,none,53.2,none,31.7,none,4.8,none,0.56,none,1.14,none,4.5,none,6.149,none,92.6,none,4.34,none,0.414,none,NA,none,NA,none
Siskiwit River,10/4/2017,46.8547,-91.0916,NPS,0,2,Watershed,1640,none,412,none,58.7,none,NA,none,NA,none,55.8,none,31.3,none,5.83,none,NA,none,NA,none,4.22,none,NA,none,NA,none,2.32,none,0.301,none,NA,none,NA,none
Wisconsin Point,10/4/2017,46.7074,-92.0126,NPS,0,1,Lake,2450,none,111,none,26.6,none,6.66,none,NA,none,84.8,none,4.67,none,1.85,none,0.496,none,1.05,none,0.563,none,1.386,none,148,none,1.01,none,0.099,none,NA,none,NA,none
Wisconsin Point,10/4/2017,46.7074,-92.0126,NPS,0,2,Lake,2430,none,88.2,none,30.6,none,NA,none,NA,none,99.7,none,8.31,none,1.54,none,NA,none,NA,none,0.557,none,NA,none,NA,none,0.935,none,0.134,none,NA,none,NA,none
Brule DNR,5/23/2018,46.537,-91.5957,NPS,0,1,Watershed,NA,none,35.7,none,NA,none,1.64,none,0.366,none,NA,none,3.03,none,NA,none,0.522,none,0.513,none,0.26,none,0.864,none,NA,none,1.97,none,NA,none,NA,none,NA,none
Brule DNR,5/23/2018,46.537,-91.5957,NPS,0,2,Watershed,NA,none,36.1,none,NA,none,NA,none,NA,none,NA,none,2.76,none,NA,none,NA,none,NA,none,0.224,none,NA,none,NA,none,1.88,none,NA,none,NA,none,NA,none
Brule River,5/23/2018,46.7053,-91.6039,NPS,0,1,Watershed,NA,none,41.8,none,NA,none,0.972,none,0.387,none,NA,none,3.19,none,NA,none,0.711,none,0.448,none,0.284,none,0.648,none,170,none,1.56,none,NA,none,NA,none,NA,none
Brule River,5/23/2018,46.7053,-91.6039,NPS,0,2,Watershed,NA,none,34.3,none,NA,none,NA,none,NA,none,NA,none,2.85,none,NA,none,NA,none,NA,none,0.293,none,NA,none,NA,none,1.45,none,NA,none,NA,none,NA,none
Flag River,5/23/2018,46.7818,-91.3725,NPS,0,1,Watershed,NA,none,24.7,none,NA,none,NA,bdl,0.397,none,NA,none,1.5,none,NA,none,0.346,none,0.416,none,0.23,none,0.456,none,NA,none,0.793,none,NA,none,NA,none,NA,none
Flag River,5/23/2018,46.7818,-91.3725,NPS,0,2,Watershed,NA,none,27.1,none,NA,none,NA,none,NA,none,NA,none,1.46,none,NA,none,NA,none,NA,none,0.213,none,NA,none,NA,none,0.838,none,NA,none,NA,none,NA,none
Mawikwe Bay,5/23/2018,46.8858,-91.0527,NPS,0,1,Lake,NA,none,9.8,none,NA,none,25.9,none,0.247,none,NA,none,0.969,none,NA,none,0.112,none,0.204,none,0.063,none,0.259,none,40.2,none,0.48,none,NA,none,NA,none,NA,none
Mawikwe Bay,5/23/2018,46.8858,-91.0527,NPS,0,2,Lake,NA,none,11.9,none,NA,none,NA,none,NA,none,NA,none,1.04,none,NA,none,NA,none,NA,none,0.056,none,NA,none,NA,none,0.416,none,NA,none,NA,none,NA,none
Siskiwit River,5/23/2018,46.8547,-91.0916,NPS,0,1,Watershed,NA,none,58.8,none,NA,none,NA,bdl,0.731,none,NA,none,4.38,none,NA,none,0.412,none,0.515,none,0.471,none,0.697,none,151,none,1.14,none,NA,none,NA,none,NA,none
Siskiwit River,5/23/2018,46.8547,-91.0916,NPS,0,2,Watershed,NA,none,51.5,none,NA,none,NA,none,NA,none,NA,none,3.9,none,NA,none,NA,none,NA,none,0.535,none,NA,none,NA,none,1.62,none,NA,none,NA,none,NA,none
Brule River,6/6/2018,46.7053,-91.6039,NPS,0,1,Watershed,NA,none,63.6,none,NA,none,2.31,none,0.306,none,NA,none,4.96,none,NA,none,0.282,none,0.485,none,0.419,none,1.222,none,183,none,2.3,none,NA,none,NA,none,NA,none
Brule River,6/6/2018,46.7053,-91.6039,NPS,0,2,Watershed,NA,none,64.2,none,NA,none,NA,none,NA,none,NA,none,4.77,none,NA,none,NA,none,NA,none,0.43,none,NA,none,NA,none,2.31,none,NA,none,NA,none,NA,none
Cranberry River,6/6/2018,46.7888,-91.2732,NPS,0,1,Watershed,NA,none,66,none,NA,none,3.99,none,0.553,none,NA,none,3.95,none,NA,none,0.417,none,0.616,none,0.606,none,1.471,none,209,none,1.04,none,NA,none,NA,none,NA,none
Cranberry River,6/6/2018,46.7888,-91.2732,NPS,0,2,Watershed,NA,none,65.7,none,NA,none,NA,none,NA,none,NA,none,3.98,none,NA,none,NA,none,NA,none,0.551,none,NA,none,NA,none,1.07,none,NA,none,NA,none,NA,none
Flag River,6/6/2018,46.7818,-91.3725,NPS,0,1,Watershed,NA,none,86.1,none,NA,none,0.252,none,1.25,none,NA,none,4.49,none,NA,none,0.335,none,0.541,none,0.661,none,1.614,none,207,none,0.785,none,NA,none,NA,none,NA,none
Flag River,6/6/2018,46.7818,-91.3725,NPS,0,2,Watershed,NA,none,76.4,none,NA,none,NA,none,NA,none,NA,none,4,none,NA,none,NA,none,NA,none,0.687,none,NA,none,NA,none,0.468,none,NA,none,NA,none,NA,none
Mawikwe Bay,6/6/2018,46.8858,-91.0527,NPS,0,1,Lake,NA,none,15.7,none,NA,none,25.2,none,0.311,none,NA,none,1.53,none,NA,none,0.057,none,0.072,none,0.076,none,0.15,none,40.3,none,1.52,none,NA,none,NA,none,NA,none
Mawikwe Bay,6/6/2018,46.8858,-91.0527,NPS,0,2,Lake,NA,none,15.5,none,NA,none,NA,none,NA,none,NA,none,1.59,none,NA,none,NA,none,NA,none,0.092,none,NA,none,NA,none,1.57,none,NA,none,NA,none,NA,none
Siskiwit River,6/6/2018,46.8547,-91.0916,NPS,0,1,Watershed,NA,none,112,none,NA,none,4.1,none,0.515,none,NA,none,7.5,none,NA,none,0.332,none,0.618,none,0.943,none,1.269,none,138,none,1.86,none,NA,none,NA,none,NA,none
Siskiwit River,6/6/2018,46.8547,-91.0916,NPS,0,2,Watershed,NA,none,111,none,NA,none,NA,none,NA,none,NA,none,7.46,none,NA,none,NA,none,NA,none,0.861,none,NA,none,NA,none,1.8,none,NA,none,NA,none,NA,none
Brule River,6/11/2018,46.7053,-91.6039,NPS,0,1,Watershed,543,none,92.1,none,NA,none,1.81,none,0.342,none,22.3,none,5.68,none,NA,none,0.176,none,0.345,none,0.514,none,0.887,none,NA,none,3.53,none,NA,none,NA,none,NA,none
Brule River,6/11/2018,46.7053,-91.6039,NPS,0,2,Watershed,NA,none,83.2,none,NA,none,NA,none,NA,none,NA,none,5.45,none,NA,none,NA,none,NA,none,0.496,none,NA,none,NA,none,3.66,none,NA,none,NA,none,NA,none
Cranberry River,6/11/2018,46.7888,-91.2732,NPS,0,1,Watershed,121,none,51,none,NA,none,4.58,none,0.355,none,9.14,none,1.73,none,NA,none,0.372,none,0.462,none,0.236,none,1.115,none,NA,none,0.252,none,NA,none,NA,none,NA,none
Cranberry River,6/11/2018,46.7888,-91.2732,NPS,0,2,Watershed,NA,none,53.1,none,NA,none,NA,none,NA,none,NA,none,1.79,none,NA,none,NA,none,NA,none,0.221,none,NA,none,NA,none,0.885,none,NA,none,NA,none,NA,none
Flag River,6/11/2018,46.7818,-91.3725,NPS,0,1,Watershed,141,none,35.8,none,NA,none,2.29,none,0.704,none,9.71,none,0.963,none,NA,none,0.304,none,0.376,none,0.236,none,0.841,none,NA,none,0.224,none,NA,none,NA,none,NA,none
Flag River,6/11/2018,46.7818,-91.3725,NPS,0,2,Watershed,NA,none,49.1,none,NA,none,NA,none,NA,none,NA,none,5.46,none,NA,none,NA,none,NA,none,0.277,none,NA,none,NA,none,0.513,none,NA,none,NA,none,NA,none
PS10,6/11/2018,46.5593,-91.8008,NPS,0,1,Watershed,1120,none,61.2,none,NA,none,1.28,none,0.307,none,42.3,none,4.68,none,NA,none,0.132,none,0.54,none,0.293,none,1.249,none,NA,none,2.89,none,NA,none,NA,none,NA,none
PS10,6/11/2018,46.5593,-91.8008,NPS,0,2,Watershed,NA,none,56.9,none,NA,none,NA,none,NA,none,NA,none,4.7,none,NA,none,NA,none,NA,none,0.249,none,NA,none,NA,none,3.12,none,NA,none,NA,none,NA,none
PS13,6/11/2018,46.8008,-91.1079,NPS,0,1,Watershed,1490,none,69.1,none,NA,none,NA,bdl,0.473,none,34.1,none,6.92,none,NA,none,0.071,none,0.276,none,0.283,none,0.913,none,NA,none,5.55,none,NA,none,NA,none,NA,none
PS13,6/11/2018,46.8008,-91.1079,NPS,0,2,Watershed,NA,none,63.4,none,NA,none,NA,none,NA,none,NA,none,4.74,none,NA,none,NA,none,NA,none,0.217,none,NA,none,NA,none,5.16,none,NA,none,NA,none,NA,none
PS15,6/11/2018,46.8312,-91.2658,NPS,0,1,Watershed,205,none,50,none,NA,none,3.31,none,0.558,none,14.6,none,1.81,none,NA,none,0.271,none,0.351,none,0.231,none,0.824,none,NA,none,1.25,none,NA,none,NA,none,NA,none
PS15,6/11/2018,46.8312,-91.2658,NPS,0,2,Watershed,NA,none,53.3,none,NA,none,NA,none,NA,none,NA,none,1.69,none,NA,none,NA,none,NA,none,0.265,none,NA,none,NA,none,0.61,none,NA,none,NA,none,NA,none
PS17,6/11/2018,46.8496,-91.1951,NPS,0,1,Watershed,1390,none,132,none,NA,none,0.803,none,NA,none,44.8,none,9.06,none,NA,none,0.055,none,0.189,none,0.358,none,0.888,none,NA,none,4.58,none,NA,none,NA,none,NA,none
PS17,6/11/2018,46.8496,-91.1951,NPS,0,2,Watershed,NA,none,139,none,NA,none,NA,none,NA,none,NA,none,9.41,none,NA,none,NA,none,NA,none,0.397,none,NA,none,NA,none,4.64,none,NA,none,NA,none,NA,none
PS18,6/11/2018,46.7948,-91.0941,NPS,0,1,Watershed,3460,none,67.4,none,NA,none,1.02,none,1.28,none,62,none,5.87,none,NA,none,0.101,none,0.628,none,0.321,none,1.145,none,NA,none,3.01,none,NA,none,NA,none,NA,none
PS18,6/11/2018,46.7948,-91.0941,NPS,0,2,Watershed,NA,none,62.6,none,NA,none,NA,none,NA,none,NA,none,5.32,none,NA,none,NA,none,NA,none,0.276,none,NA,none,NA,none,2.84,none,NA,none,NA,none,NA,none
PS19,6/11/2018,46.8339,-91.2608,NPS,0,1,Watershed,1220,none,118,none,NA,none,NA,bdl,0.543,none,38.1,none,10.9,none,NA,none,0.185,none,0.578,none,0.827,none,1.628,none,NA,none,8.22,none,NA,none,NA,none,NA,none
PS19,6/11/2018,46.8339,-91.2608,NPS,0,2,Watershed,NA,none,124,none,NA,none,NA,none,NA,none,NA,none,11,none,NA,none,NA,none,NA,none,0.911,none,NA,none,NA,none,9.18,none,NA,none,NA,none,NA,none
