TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
"TOTAL NITROGEN, MIXED FORMS",,,TOTAL RECOVERABLE,UNFILTERED,"Assumes TOTAL NITROGEN, MIXED FORMS, TOTAL RECOVERABLE is synonymous to TOTAL NITROGEN, MIXED FORMS, UNFILTERED.",AS N,,,,Nitrogen
"TOTAL NITROGEN, MIXED FORMS",,,TOTAL RECOVERABLE,UNFILTERED,,,AS N,Assumes AS N,,Nitrogen
"TOTAL NITROGEN, MIXED FORMS",,,UNFILTERED,,,AS N,,,,Nitrogen
"TOTAL PHOSPHORUS, MIXED FORMS",,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS P,,,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,NONE,UNFILTERED,,,AS P,Assumes AS P,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,TOTAL,UNFILTERED,,AS P,,,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,TOTAL,UNFILTERED,,,AS P,Assumes AS P,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,TOTAL RECOVERABLE,UNFILTERED,,,AS P,Assumes AS P,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,UNFILTERED,,,AS P,,,,Phosphorus
"TOTAL PHOSPHORUS, MIXED FORMS",,,,UNFILTERED,ASSUMES UNFILTERED,,AS P,Assumes AS P,,Phosphorus
TOTAL SUSPENDED SOLIDS,,,NON-FILTERABLE,NON-FILTERABLE (PARTICLE),"All TOTAL SUSPENDED SOLIDS assumed to be TOTAL SUSPENDED SOLIDS, NON-FILTERABLE (PARTICLE)",,,,,TOTAL SUSPENDED SOLIDS
TOTAL SUSPENDED SOLIDS,,,SUSPENDED,NON-FILTERABLE (PARTICLE),"All TOTAL SUSPENDED SOLIDS assumed to be TOTAL SUSPENDED SOLIDS, NON-FILTERABLE (PARTICLE)",,,,,TOTAL SUSPENDED SOLIDS
TOTAL SUSPENDED SOLIDS,,,TOTAL,NON-FILTERABLE (PARTICLE),"All TOTAL SUSPENDED SOLIDS assumed to be TOTAL SUSPENDED SOLIDS, NON-FILTERABLE (PARTICLE)",,,,,TOTAL SUSPENDED SOLIDS
TOTAL SUSPENDED SOLIDS,,,,NON-FILTERABLE (PARTICLE),"All TOTAL SUSPENDED SOLIDS assumed to be TOTAL SUSPENDED SOLIDS, NON-FILTERABLE (PARTICLE)",,,,,TOTAL SUSPENDED SOLIDS
"TRANSPARENCY, TUBE WITH DISK",,,TOTAL,,Assumes fraction is NA for TRANSPARENCY. Harmonizing to NA.,,,,,"TRANSPARENCY, TUBE WITH DISK"
"TRANSPARENCY, TUBE WITH DISK",,,,,,,,,,"TRANSPARENCY, TUBE WITH DISK"
TURBIDITY,,,TOTAL,,Fraction is NA to turbidity,,,,,TURBIDITY
TURBIDITY,,,,,,,,,,TURBIDITY
TURBIDITY FIELD,TURBIDITY,,,,Fraction is NA to turbidity,,,,,TURBIDITY
