Nutrient Data,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Strikethrough indicates sample volume or mass was to low for analysis and d value may not be reliable.  ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CATION CONC. (mg L-1),,,,ANION CONC. (mg L-1),,,,,
Date,Station,Transect_Station,Station Depth,Latitude,Longitude,Sample Depth (m),Replicate,SRP (ug/L),TDP (ug/L),Chl-a (ug/L),PP (ug/L),Ca2+,Mg2+,Na+,K+,Cl- ,NO3 -,PO43- ,SO43-,,,
6/8/2016,Sand River Transect 25 m,,,,,2,A,0.017254749,2.435924835,0.274909699,2.284752715,,,,,,,,,,,
6/8/2016,Sand River Transect 20 m,,,,,2,A,0.017254749,2.032858136,0.189592896,2.320011244,,,,,,,,,,,
6/8/2016,Sand River Transect 15 m,,,,,2,A,0.655680445,2.418400196,0.341267213,2.334114656,,,,,,,,,,,
6/8/2016,Sand River Transect 15 m,,,,,13,A,1.89802234,2.225629166,0.360226503,2.609131187,,,,,,,,,,,
6/8/2016,Sand River Transect 10 m,,,,,2,A,0.051764246,4.836800391,0.227511475,2.312959538,,,,,,,,,,,
6/8/2016,Sand River Transect 10 m,,,,,8,A,0.207056982,4.924423587,0.49294153,2.573872657,,,,,,,,,,,
6/8/2016,Sand River Transect 5 m,,,,,2,A,0.155292737,2.122617727,0.341267213,2.771320423,,,,,,,,,,,
6/8/2016,Sand River Transect 5 m,,,,,5,A,0.414113965,20.92441908,0.227511475,2.552717539,,,,,,,,,,,
6/21/2016,Brule River,,,46.736279,-91.60166667,,A,7.938538279,18.03107819,,12.52910006,10.94,4.78,3.74,0.28,3.48,0.91,BDL,4.30,,,
6/21/2016,Iron River,,,46.746848,-91.48583333,,A,6.201440187,18.88225626,,17.04935408,17.80,5.20,3.97,0.69,3.61,0.27,BDL,3.61,,,
6/21/2016,Flag River,,,46.781612,-91.3725,,A,11.72541212,17.31886797,,10.19963502,21.11,0.36,2.84,0.82,2.27,BDL,BDL,6.13,,,
6/21/2016,Siskiwit River,,,46.854369,-91.09166667,,A,15.33857615,26.62971375,,10.20226719,16.31,7.08,2.05,0.52,1.33,0.26,BDL,3.05,,,
6/21/2016,Sand River,,,46.899414,-90.95638889,,A,6.8267955,15.04326947,,11.94739184,23.12,9.04,3.03,0.88,1.46,BDL,BDL,3.28,,,
6/23/2016,Sand Island-West,Nearshore-Offshore_4,10,46.98893333,-90.98755,2,A,0.243193733,1.471476675,0.174196721,2.365187255,11.96,3.62,1.43,0.08,1.25,1.41,BDL,4.31,,,
6/23/2016,,Nearshore-Offshore_5,10,46.95756667,-90.96027778,2,A,0.19108079,1.372276,0.228633197,2.231745947,12.62,3.80,1.58,0.09,1.78,1.49,BDL,8.38,,,
6/23/2016,,Nearshore-Offshore_3,20,46.98026667,-91.01138889,2,A,0.295306676,1.851745928,1.689180328,2.586364226,15.50,4.02,1.60,0.17,1.34,1.57,BDL,4.46,,,
6/23/2016,,Nearshore-Offshore_5,10,46.95756667,-90.96027778,8,A,0.38216158,1.421876337,0.50807377,3.93771716,13.23,3.97,1.36,0.09,1.94,1.54,BDL,4.63,,,
6/23/2016,,Nearshore-Offshore_3,20,46.98026667,-91.01138889,18,A,0.434274523,1.669878024,1.056793443,2.514769368,15.93,3.99,1.55,0.11,1.16,1.67,BDL,4.61,,,
6/23/2016,Sand Island-West,Nearshore-Offshore_4,10,46.98893333,-90.98755,8,A,0.260564714,1.785612145,1.103245902,2.716769145,12.51,3.79,1.64,0.10,1.28,1.58,BDL,4.34,,,
6/24/2016,,Longshore_3,1,46.88491667,-91.09055556,2,A,0.260564714,1.405342892,0.580655738,2.326832868,11.60,3.61,1.80,0.12,1.63,1.03,BDL,2.89,,,
6/24/2016,,Longshore_3,10,46.88491667,-91.09055556,8,A,0.347419618,1.405342892,0.522590164,3.125882616,11.75,3.68,1.75,0.15,1.49,1.05,BDL,4.79,,,
6/24/2016,,Longshore_1,1,46.81183333,-91.35527778,2,A,1.024887874,3.587757735,0.682534426,5.742504192,15.45,4.20,1.73,0.14,1.67,1.02,BDL,3.24,,,
6/24/2016,,Longshore_1,10,46.81183333,-91.35527778,8,A,1.024887874,2.777618891,0.910045902,5.414361096,13.03,4.17,1.94,0.20,1.74,1.05,BDL,3.37,,,
7/6/2016,Brule River,,,46.736279,-91.60166667,,A,11.87959362,19.23101902,,23.14482579,17.03,6.91,3.46,0.28,2.34,BDL,BDL,2.63,,,
7/6/2016,Iron River,,,46.746848,-91.48583333,,A,11.5415564,14.29597137,,19.81584316,17.95,7.04,3.89,0.49,2.80,BDL,BDL,2.43,,,
7/6/2016,Flag River,,,46.781612,-91.3725,,A,10.71364477,16.70869672,,8.753259623,18.59,8.86,2.75,0.72,2.62,BDL,BDL,3.78,,,
7/6/2016,Siskiwit River,,,46.854369,-91.09166667,,A,21.16978774,26.89810425,,10.64879309,20.18,8.45,1.97,0.34,1.35,BDL,BDL,2.14,,,
7/6/2016,Sand River,,,46.899414,-90.95638889,,A,6.881471914,10.14426461,,15.58200948,20.54,9.18,3.31,0.74,1.73,BDL,BDL,2.40,,,
7/6/2016,,Nearshore-Offshore_1,20,47.02273333,-91.06194444,2,A,1.352148867,2.212938034,0.447104918,1.812468048,12.51,4.12,1.94,0.32,3.66,1.64,BDL,3.40,,,
7/6/2016,,Nearshore-Offshore_1,20,47.02273333,-91.06194444,18,A,0.217309639,1.266469191,1.794754098,2.173223079,12.61,4.21,2.38,0.29,2.80,1.68,BDL,4.18,,,
7/6/2016,,Nearshore-Offshore_2,20,47.00545,-91.04055556,2,A,3.597681808,2.532938381,1.478032787,2.207994648,13.75,4.44,1.55,0.23,1.51,1.65,BDL,5.29,,,
7/6/2016,,Nearshore-Offshore_2,20,47.00545,-91.04055556,18,A,0.96582062,1.62587261,0.211147541,2.53397811,14.16,4.31,1.44,0.20,1.95,1.61,BDL,3.13,,,
7/6/2016,,Nearshore-Offshore_3,20,46.98026667,-91.01138889,2,A,1.810913662,2.344679447,0.990743852,2.40684456,13.76,4.44,1.66,0.25,1.06,0.87,BDL,0.80,,,
7/6/2016,,Nearshore-Offshore_3,20,46.98026667,-91.01138889,18,A,1.352148867,2.002390477,1.508196721,1.961937502,7.82,2.50,0.86,0.01,2.05,1.56,BDL,2.94,,,
7/6/2016,Sand Island-West,Nearshore-Offshore_4,10,46.98893333,-90.98755,2,A,0.96582062,1.410013614,0.92904918,2.434009848,,,,,,,,,,,
7/6/2016,Sand Island-West,Nearshore-Offshore_4,10,46.98893333,-90.98755,8,A,2.752588766,4.190873798,0.754852459,2.732051871,,,,,,,,,,,
7/6/2016,,Nearshore-Offshore_5,10,46.95756667,-90.96027778,2,A,1.472876445,3.760036305,1.277442623,3.50734058,11.15,4.09,1.65,0.24,2.53,0.79,BDL,1.52,,,
7/6/2016,Sand Island East,,10,46.95165,-90.92026667,2,A,1.376294383,2.526274392,1.39357377,2.222896749,,,,,,,,,,,
7/6/2016,Sand Island East,,10,46.95165,-90.92026667,8,A,2.656006704,3.211697677,1.508196721,2.94316497,,,,,,,,,,,
7/15/2016,Brule River,,,46.736279,-91.60166667,,A,7.388854417,18.08644545,,29.80528009,12.49,5.08,2.89,0.37,3.09,1.02,BDL,1.49,,,
7/15/2016,Iron River,,,46.746848,-91.48583333,,A,17.24066031,27.20845715,,47.47208389,13.54,7.16,4.01,1.19,2.12,0.77,BDL,2.62,,,
7/15/2016,Flag River,,,46.781612,-91.3725,,A,19.77448808,20.78277904,,29.73463054,19.29,8.52,2.69,1.00,1.55,0.74,BDL,1.00,,,
7/15/2016,Siskiwit River,,,46.854369,-91.09166667,,A,10.91495041,21.76326398,,20.89460524,9.99,4.03,1.84,0.51,3.00,0.71,BDL,0.93,,,
7/15/2016,Sand River,,,46.899414,-90.95638889,,A,10.72004058,15.67025041,,48.90715293,17.31,6.72,3.19,1.10,1.50,1.67,BDL,2.85,,,
7/18/2016,,Nearshore-Offshore_1,20,47.02273333,-91.06194444,2,A,0.779639315,0.379930382,1.033195263,1.640078904,14.78,4.42,1.41,0.10,1.52,1.69,BDL,2.75,,,
7/18/2016,,Nearshore-Offshore_2,20,47.00545,-91.04055556,2,A,0.79735839,4.070682662,1.906193078,3.903387793,12.64,4.22,1.46,0.11,2.08,1.50,BDL,12.66,,,
7/18/2016,,Nearshore-Offshore_3,20,46.98026667,-91.01138889,2,A,1.2934925,3.409152403,1.260022951,4.564667607,12.04,4.84,4.77,0.14,1.98,1.68,BDL,3.07,,,
7/18/2016,Sand Island-West,Nearshore-Offshore_4,10,46.98893333,-90.98755,2,A,0.79735839,3.745028049,1.99164918,3.976863327,13.27,4.62,1.73,0.09,1.70,1.69,BDL,3.63,,,
7/18/2016,,Nearshore-Offshore_5,10,46.95756667,-90.96027778,2,A,1.364368801,2.15293883,1.788419672,4.509560956,13.38,4.53,1.68,0.09,2.54,BDL,BDL,2.73,,,
7/20/2016,,Longshore_1,10,46.81183333,-91.35527778,2,A,0.954071213,2.062479215,1.463252459,5.71272284,13.92,4.54,1.73,0.13,2.07,1.07,BDL,3.43,,,
7/20/2016,,Longshore_2,10,46.89397222,-91.1825,2,A,0.846063151,1.519721527,1.788419672,4.445269863,12.03,4.22,2.03,0.13,1.80,1.06,BDL,3.31,,,
7/20/2016,,Longshore_3,10,46.88491667,-91.09055556,2,A,0.630047028,1.754916525,1.829065574,5.069811909,12.16,4.51,1.95,0.12,1.82,1.02,BDL,3.49,,,
7/20/2016,,Longshore_4,10,46.92152778,-91.02166667,2,A,2.430181392,3.310821898,2.032295082,4.996336374,13.52,4.57,2.01,0.06,2.42,1.05,BDL,4.24,,,
7/27/2016,Brule River,,,46.736279,-91.60166667,,A,8.319961638,17.20530318,,15.90269101,15.13,6.68,3.22,0.20,3.03,BDL,BDL,2.51,,,
7/27/2016,Iron River,,,46.746848,-91.48583333,,A,3.239329326,9.976647342,,13.01894634,17.63,8.13,3.94,0.55,2.28,BDL,BDL,3.64,,,
