date,temp
2011-07-22,17.274125874125875
2011-07-23,16.461111111111112
2011-07-24,14.1375
2011-07-25,15.39375
2011-07-26,15.03888888888889
2011-07-27,15.293055555555556
2011-07-28,15.513194444444444
2011-07-29,16.148951048951048
2011-07-30,17.511347517730496
2011-07-31,17.45985401459854
2011-08-01,18.525
2011-08-02,17.99855072463768
2011-08-03,18.780882352941177
2011-08-04,19.38201438848921
2011-08-05,19.860416666666666
2011-08-06,19.985106382978724
2011-08-07,19.635416666666668
2011-08-08,20.170833333333334
2011-08-09,19.404895104895104
2011-08-10,17.87
2011-08-11,17.392805755395685
2011-08-12,19.54927536231884
2011-08-13,19.744444444444444
2011-08-14,19.926315789473684
2011-08-15,20.926666666666666
2011-08-16,21.155140186915887
2011-08-17,20.063063063063062
2011-08-18,19.5125
2011-08-19,20.2125
2011-08-20,19.958333333333332
2011-08-21,15.991836734693878
2011-08-22,15.590625
2011-08-23,16.88137254901961
2011-08-24,15.292708333333334
2011-08-25,11.642999999999999
2011-08-26,15.317499999999999
2011-08-27,15.894791666666666
2011-08-28,19.03008849557522
2011-08-29,17.510416666666668
2011-08-30,14.785106382978723
2011-08-31,15.004166666666666
2011-09-01,14.659374999999999
2011-09-02,14.233333333333333
2011-09-03,14.846875
2011-09-04,13.91157894736842
2011-09-05,13.138541666666667
2011-09-06,13.185416666666667
2011-09-07,13.815463917525772
2011-09-08,14.321875
2011-09-09,15.343
2011-09-10,16.501052631578947
2011-09-11,16.895876288659792
2011-09-12,16.472916666666666
2011-09-13,11.992708333333333
2011-09-14,11.006060606060606
2011-09-15,10.059375000000001
2011-09-16,10.175757575757576
2011-09-17,10.3875
2011-09-18,10.272164948453609
2011-09-19,10.615841584158416
2011-09-20,11.098425196850394
2011-09-21,10.448453608247423
2011-09-22,9.078125
2011-09-23,9.059183673469388
2011-09-24,9.227083333333333
2011-09-25,9.535051546391752
2011-09-26,9.280208333333333
2011-09-27,9.167391304347825
2011-09-28,10.004040404040405
2011-09-29,10.041666666666666
2011-09-30,9.508000000000001
2011-10-01,9.257731958762887
2011-10-02,8.763917525773197
2011-10-03,8.695959595959597
2011-10-04,9.246875
2011-10-05,9.172916666666666
2011-10-06,9.409375
2011-10-07,9.482291666666667
2011-10-08,9.894791666666666
2011-10-09,10.163541666666667
2011-10-10,10.10531914893617
2011-10-11,10.164583333333333
2011-10-12,10.285294117647059
2011-10-13,10.592372881355931
2011-10-14,10.4232
2011-10-15,9.973958333333334
2011-10-16,10.21919191919192
2011-10-17,10.154639175257731
2011-10-18,9.992929292929293
2011-10-19,9.792727272727273
2011-10-20,9.719999999999999
2011-10-21,9.745544554455446
2011-10-22,9.724468085106382
2011-10-23,9.706930693069307
2011-10-24,9.604166666666666
2011-10-25,9.528125
2011-10-26,9.45
2011-10-27,9.343262411347519
2011-10-28,9.273076923076923
2011-10-29,9.213541666666666
2011-10-30,9.084999999999999
2011-10-31,9.021875
2011-11-01,9.004166666666666
2011-11-02,9
2011-11-03,8.918750000000001
2011-11-04,8.851041666666667
2011-11-05,8.788541666666667
2011-11-06,8.77319587628866
2011-11-07,8.31734693877551
2011-11-08,8.076041666666667
2011-11-09,7.4557142857142855
2012-05-30,7.496551724137931
2012-05-31,7.953658536585366
2012-06-01,9.38706896551724
2012-06-02,9.071666666666667
2012-06-03,10.125833333333333
2012-06-04,10.004273504273504
2012-06-05,9.706666666666667
2012-06-06,10.046666666666667
2012-06-07,12.4825
2012-06-08,14.1375
2012-06-09,13.0125
2012-06-10,13.741258741258742
2012-06-11,13.227941176470589
2012-06-12,10.984166666666667
2012-06-13,11.905042016806723
2012-06-14,11.156198347107438
2012-06-15,10.693076923076923
2012-06-16,11.76
2012-06-17,12.023333333333333
2012-06-18,12.9975
2012-06-19,13.540000000000001
2012-06-20,11.2775
2012-06-21,11.5525
2012-06-22,12.199186991869919
2012-06-23,13.7625
2012-06-24,13.110434782608696
2012-06-25,13.968333333333334
2012-06-26,16.0872
2012-06-27,16.11111111111111
2012-06-28,16.69375
2012-06-29,16.97222222222222
2012-06-30,17.384722222222223
2012-07-01,19.08125
2012-07-02,18.990277777777777
2012-07-03,18.889583333333334
2012-07-04,19.59513888888889
2012-07-05,17.715972222222224
2012-07-06,18.1875
2012-07-07,17.97972027972028
2012-07-08,19.50347222222222
2012-07-09,20.199305555555554
2012-07-10,20.19097222222222
2012-07-11,21.370833333333334
2012-07-12,22.584027777777777
2012-07-13,23.135416666666668
2012-07-14,22.430555555555557
2012-07-15,23.16111111111111
2012-07-16,23.116666666666667
2012-07-17,21.063194444444445
2012-07-18,21.02916666666667
2012-07-19,16.139583333333334
2012-07-20,17.300694444444446
2012-07-21,19.820138888888888
2012-07-22,20.80763888888889
2012-07-23,21.436805555555555
2012-07-24,21.4375
2012-07-25,20.883333333333333
2012-07-26,21.353472222222223
2012-07-27,20.896527777777777
2012-07-28,21.105555555555554
2012-07-29,22.365277777777777
2012-07-30,22.097916666666666
2012-07-31,21.87638888888889
2012-08-01,22.1625
2012-08-02,22.42222222222222
2012-08-03,22.072916666666668
2012-08-04,21.23472222222222
2012-08-05,21.06388888888889
2012-08-06,21.24791666666667
2012-08-07,21.533333333333335
2012-08-08,21.43402777777778
2012-08-09,20.975
2012-08-10,18.62986111111111
2012-08-11,19.564583333333335
2012-08-12,20.67391304347826
2012-08-13,19.741666666666667
2012-08-14,19.013194444444444
2012-08-15,19.759027777777778
2012-08-16,18.01111111111111
2012-08-17,17.627083333333335
2012-08-18,18.644444444444446
2012-08-19,18.196527777777778
