date,site,latitude,longitude,huc,source,discharge
2010-01-08T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,977
2010-01-08T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,84.4
2010-01-08T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-08T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.7
2010-01-08T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.7
2010-01-08T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.84
2010-01-08T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,171
2010-01-08T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,158
2010-01-09T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.79
2010-01-09T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,930
2010-01-09T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,84.4
2010-01-09T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-09T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.9
2010-01-09T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.6
2010-01-09T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.71
2010-01-09T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-09T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,153
2010-01-10T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.79
2010-01-10T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,945
2010-01-10T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,81
2010-01-10T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,132
2010-01-10T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.9
2010-01-10T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,51.2
2010-01-10T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.55
