Site Name ,Site ID,Date,Time (CDT),Discharge (CFS),Total Phosphorus (mg/L)
South Fish Creek at Colby Rd,SFCR,8/8/16,14:05,0.1,0.042
South Fish Creek at Colby Rd,SFCR,8/22/16,11:50,0.2,0.041
South Fish Creek at Colby Rd,SFCR,9/6/16,12:10,0.3,0.1197
Thompson Creek at Bigelow St,TCBS,4/30/14,13:15,98.7,0.295
Thompson Creek at Bigelow St,TCBS,6/4/14,11:25,3.6,0.055
Thompson Creek at Bigelow St,TCBS,6/30/14,11:30,2.6,0.0599
Thompson Creek at Bigelow St,TCBS,7/15/14,10:07,2.7,0.0498
Thompson Creek at Bigelow St,TCBS,7/28/14,11:41,2.2,0.0531
Thompson Creek at Bigelow St,TCBS,8/11/14,12:08,2.5,0.0511
Thompson Creek at Bigelow St,TCBS,8/25/14,12:45,8.4,0.323
Thompson Creek at Bigelow St,TCBS,9/10/14,15:25,59.3,0.365
Thompson Creek at Bigelow St,TCBS,9/29/14,11:30,2.7,0.0519
Thompson Creek at Bigelow St,TCBS,10/15/14,11:30,2.7,0.0522
Thompson Creek at Bigelow St,TCBS,11/6/14,15:10,2.4,0.0416
Thompson Creek at Bigelow St,TCBS,12/15/14,11:55,37.4,0.2255
Thompson Creek at Bigelow St,TCBS,1/29/15,13:20,2.1,0.0474
Thompson Creek at Bigelow St,TCBS,3/17/15,13:20,10.6,0.1065
Thompson Creek at Bigelow St,TCBS,3/30/15,14:25,4.2,0.0633
Thompson Creek at Bigelow St,TCBS,4/20/15,16:00,20.7,0.2327
Thompson Creek at Bigelow St,TCBS,5/4/15,11:11,2.8,0.0453
Thompson Creek at Bigelow St,TCBS,5/18/15,12:00,14.9,0.1615
Thompson Creek at Bigelow St,TCBS,6/2/15,15:20,2.7,0.0477
Thompson Creek at Bigelow St,TCBS,6/16/15,13:35,2.3,0.0505
Thompson Creek at Bigelow St,TCBS,6/30/15,14:30,2.6,0.0522
Thompson Creek at Bigelow St,TCBS,7/14/15,11:05,2.2,0.0604
Thompson Creek at Bigelow St,TCBS,7/29/15,11:55,2.1,0.0576
Thompson Creek at Bigelow St,TCBS,8/11/15,10:40,NA,0.0483
Thompson Creek at Bigelow St,TCBS,8/19/15,12:15,NA,0.1256
Thompson Creek at Bigelow St,TCBS,8/25/15,14:30,NA,0.0542
Thompson Creek at Bigelow St,TCBS,9/8/15,10:41,2.1,0.0537
Thompson Creek at Bigelow St,TCBS,9/22/15,12:25,NA,0.0582
Thompson Creek at Bigelow St,TCBS,10/6/15,11:25,NA,0.052
Thompson Creek at Bigelow St,TCBS,10/20/15,15:20,NA,0.0554
Thompson Creek at Bigelow St,TCBS,11/3/15,10:35,2.5,0.0448
Thompson Creek at Bigelow St,TCBS,3/11/16,17:00,46.1,0.2456
Thompson Creek at Bigelow St,TCBS,3/28/16,15:25,16.4,0.0927
Thompson Creek at Bigelow St,TCBS,4/14/16,12:45,11.8,0.0868
Thompson Creek at Bigelow St,TCBS,4/25/16,14:30,75.5,0.3915
Thompson Creek at Bigelow St,TCBS,5/9/16,14:00,3.2,0.0672
Thompson Creek at Bigelow St,TCBS,5/23/16,13:45,2.5,0.0459
Thompson Creek at Bigelow St,TCBS,6/14/16,11:15,3,0.048
Thompson Creek at Bigelow St,TCBS,7/11/16,11:30,10.5,0.426
Thompson Creek at Bigelow St,TCBS,7/12/16,12:40,48.9,0.281
Thompson Creek at Bigelow St,TCBS,8/8/16,11:40,2.3,0.057
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/30/14,14:25,42,0.5496
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/15/14,15:40,0.02,0.0686
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/12/14,14:15,0.001,0.047
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,9/11/14,14:15,1.65,0.0959
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,10/15/14,14:45,0.06,0.0885
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,3/30/15,13:00,0.94,0.0947
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/21/15,12:20,1.48,0.0674
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,5/18/15,10:30,0.33,0.0498
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/16/15,11:25,0.0004,0.0336
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/28/15,13:45,0.01,0.0437
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/7/15,11:00,0.01,0.0887
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/11/15,12:00,NA,0.036
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/19/15,14:20,21.4,0.2862
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/25/15,15:20,NA,0.0804
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,9/8/15,12:45,NA,0.0345
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,9/22/15,10:40,NA,0.0591
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,10/6/15,10:10,NA,0.0332
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,10/20/15,13:30,NA,0.1081
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,11/3/15,12:00,0.21,0.1097
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,12/8/15,11:45,0.56,0.1077
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,3/12/16,17:30,32.23,0.2176
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/25/16,13:00,16.88,0.3055
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,5/23/16,10:20,0.02,0.0496
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/14/16,13:00,0.28,0.1015
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/30/16,11:55,0.04,0.059
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/11/16,13:15,0.03,0.052
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/12/16,11:20,8.99,0.219
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/9/16,12:35,0.004,0.106
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/11/15,9:30,2.6,0.1725
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/18/15,13:35,5.5,0.5009
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/2/15,10:15,0.09,0.2235
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/3/15,13:45,0.07,0.1268
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/4/15,12:55,7.7,0.4973
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/5/15,10:20,1.7,0.2321
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/9/15,10:05,0.23,0.1685
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/16/15,9:20,0.04,0.16
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/23/15,9:30,0.04,0.1503
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/30/15,9:15,0.04,0.1666
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/7/15,9:40,1.6,0.3765
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/14/15,9:15,0.7,0.3109
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/20/15,10:25,0.004,0.256
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/28/15,10:05,0.0005,0.3211
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/4/15,9:35,0.004,0.1984
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/7/15,10:15,0.011,0.4079
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/11/15,9:50,0.005,0.1497
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/18/15,10:15,0.005,0.2669
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/19/15,13:25,1.2,0.5505
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/20/15,10:45,0.4,0.5241
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/25/15,10:05,0.006,0.1705
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/8/15,12:10,0.007,0.2258
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/22/15,9:50,0.007,0.1156
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/6/15,9:40,0.005,0.0817
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/20/15,12:10,0.007,0.0921
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/28/15,12:15,0.025,0.1434
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,11/3/15,12:20,0.01,0.1333
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,12/8/15,12:15,0.7,0.1867
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/8/16,16:30,50.1,0.5556
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/9/16,14:15,41.4,0.3716
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/12/16,17:45,13.5,0.3641
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/17/16,15:45,20.6,0.4178
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,4/14/16,9:45,2,0.2169
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,4/25/16,11:30,57.3,0.941
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/9/16,10:40,0.3,0.1057
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/23/16,11:35,0.2,0.0948
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/14/16,13:15,0.7,0.2543
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/27/16,12:30,0.2,0.135
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/30/16,11:00,0.3,0.303
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/11/16,13:45,0.1,0.178
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/12/16,10:00,54.6,0.78
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/26/16,14:00,0.03,0.079
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/8/16,14:20,0.005,0.081
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/22/16,10:45,0.003,0.1284
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/5/16,12:40,0.009,0.3764
Whittlesey Creek at Cherryville Rd,WITC,6/4/14,12:30,21,0.0297
Whittlesey Creek at Cherryville Rd,WITC,6/16/14,12:25,24,0.0531
Whittlesey Creek at Cherryville Rd,WITC,6/30/14,13:18,19,0.0356
Whittlesey Creek at Cherryville Rd,WITC,7/8/14,12:26,21,0.0533
Whittlesey Creek at Cherryville Rd,WITC,7/15/14,10:15,19,0.0304
Whittlesey Creek at Cherryville Rd,WITC,7/22/14,10:56,19,0.0278
Whittlesey Creek at Cherryville Rd,WITC,7/28/14,12:05,20,0.0273
Whittlesey Creek at Cherryville Rd,WITC,7/29/14,10:46,18,0.0265
Whittlesey Creek at Cherryville Rd,WITC,8/5/14,10:33,18,0.0248
Whittlesey Creek at Cherryville Rd,WITC,8/11/14,12:40,19,0.0326
Whittlesey Creek at Cherryville Rd,WITC,8/12/14,10:42,18,0.0458
Whittlesey Creek at Cherryville Rd,WITC,8/19/14,10:30,21,0.0788
Whittlesey Creek at Cherryville Rd,WITC,8/25/14,11:59,65,0.3013
Whittlesey Creek at Cherryville Rd,WITC,9/2/14,10:25,26,0.0902
Whittlesey Creek at Cherryville Rd,WITC,9/10/14,14:15,98,0.4548
Whittlesey Creek at Cherryville Rd,WITC,9/29/14,12:30,21,0.0271
Whittlesey Creek at Cherryville Rd,WITC,10/14/14,14:45,21,0.0262
Whittlesey Creek at Cherryville Rd,WITC,11/6/14,15:00,20,0.0232
Whittlesey Creek at Cherryville Rd,WITC,12/15/14,10:30,45,0.252
Whittlesey Creek at Cherryville Rd,WITC,3/17/15,13:05,28,0.064
Whittlesey Creek at Cherryville Rd,WITC,3/30/15,13:55,24,0.04
Whittlesey Creek at Cherryville Rd,WITC,4/20/15,16:15,33,0.1476
Whittlesey Creek at Cherryville Rd,WITC,5/4/15,11:00,20,0.023
Whittlesey Creek at Cherryville Rd,WITC,5/12/15,11:00,28,0.0565
Whittlesey Creek at Cherryville Rd,WITC,5/18/15,11:40,23,0.0428
Whittlesey Creek at Cherryville Rd,WITC,5/19/15,11:00,21,0.033
Whittlesey Creek at Cherryville Rd,WITC,6/2/15,12:00,20,0.03
Whittlesey Creek at Cherryville Rd,WITC,6/3/15,14:45,20,0.0241
Whittlesey Creek at Cherryville Rd,WITC,6/4/15,10:15,56,0.5321
Whittlesey Creek at Cherryville Rd,WITC,6/5/15,11:25,24,0.0614
Whittlesey Creek at Cherryville Rd,WITC,6/9/15,11:20,19,0.0291
Whittlesey Creek at Cherryville Rd,WITC,6/16/15,10:40,19,0.0293
Whittlesey Creek at Cherryville Rd,WITC,6/23/15,10:55,19,0.0301
Whittlesey Creek at Cherryville Rd,WITC,6/30/15,11:10,19,0.0267
Whittlesey Creek at Cherryville Rd,WITC,7/7/15,10:50,19,0.0325
Whittlesey Creek at Cherryville Rd,WITC,7/14/15,10:35,19,0.034
Whittlesey Creek at Cherryville Rd,WITC,7/20/15,11:40,19,0.0252
Whittlesey Creek at Cherryville Rd,WITC,7/28/15,11:48,19,0.0519
Whittlesey Creek at Cherryville Rd,WITC,8/4/15,10:55,19,0.0105
Whittlesey Creek at Cherryville Rd,WITC,8/11/15,11:08,19,0.0261
Whittlesey Creek at Cherryville Rd,WITC,8/18/15,11:43,19,0.0249
Whittlesey Creek at Cherryville Rd,WITC,8/19/15,15:45,65.9,1.112
Whittlesey Creek at Cherryville Rd,WITC,8/20/15,12:05,23,0.0506
Whittlesey Creek at Cherryville Rd,WITC,8/25/15,11:15,19,0.0342
Whittlesey Creek at Cherryville Rd,WITC,9/8/15,11:30,19,0.0254
Whittlesey Creek at Cherryville Rd,WITC,9/22/15,12:55,19,0.0297
Whittlesey Creek at Cherryville Rd,WITC,10/6/15,12:05,17,0.0407
Whittlesey Creek at Cherryville Rd,WITC,10/20/15,15:00,18,0.0226
Whittlesey Creek at Cherryville Rd,WITC,11/3/15,11:10,18,0.0238
Whittlesey Creek at Cherryville Rd,WITC,3/11/16,18:20,49,0.1879
Whittlesey Creek at Cherryville Rd,WITC,3/28/16,15:15,26,0.0528
Whittlesey Creek at Cherryville Rd,WITC,4/14/16,13:00,24,0.0472
Whittlesey Creek at Cherryville Rd,WITC,4/25/16,14:15,110,0.8125
Whittlesey Creek at Cherryville Rd,WITC,5/9/16,12:50,22,0.0238
Whittlesey Creek at Cherryville Rd,WITC,5/23/16,13:00,22,0.0287
Whittlesey Creek at Cherryville Rd,WITC,6/14/16,12:00,20,0.0296
Whittlesey Creek at Cherryville Rd,WITC,6/27/16,13:00,18,0.0029
Whittlesey Creek at Cherryville Rd,WITC,6/30/16,12:20,23,0.068
Whittlesey Creek at Cherryville Rd,WITC,7/11/16,12:20,21,0.07
Whittlesey Creek at Cherryville Rd,WITC,7/12/16,12:05,73.8,0.369
Whittlesey Creek at Cherryville Rd,WITC,7/26/16,12:20,20,0.028
Whittlesey Creek at Cherryville Rd,WITC,8/8/16,12:10,19,0.031
Whittlesey Creek at Cherryville Rd,WITC,8/22/16,11:55,19,0.0268
Whittlesey Creek at Cherryville Rd,WITC,9/6/16,11:50,21,0.0398
