PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,VALXSITE,LAT_DD,LON_DD,STATION_DEPTH,,YEAR,DSGN_CYCLE,IND_DOMAIN,COUNTRY,EPA_REG,EVAL_CAT,FEAT_NM,GREAT_LAKE,LAKE_REG,LAT_DD83,LON_DD83,NCCA_REG,NPS_PARK,PROVINCE,SITETYPE,STATE_NM,XCOORD,YCOORD
5/2/2024,NGL_OH-10004,2012402,NGL20_OH-10004,1,8/20/2020,OH,Great Lakes,41.97568269,-80.61521617,14.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.97568269,-80.61521617,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1260565.775,603664.8834
5/2/2024,NGL_MI-10071,2012448,NGL20_MI-10033,1,8/21/2020,MI,Great Lakes,45.18650671,-83.33388706,5.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.18650671,-83.33388706,Great Lakes,,Great Lakes Province,PROB,Michigan,991662.4407,925866.7954
5/2/2024,NGL_MI-10531,2012447,NGL20_MI-10063,1,8/21/2020,MI,Great Lakes,45.0791415,-83.30041061,1.7,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.0791415,-83.30041061,Great Lakes,,Great Lakes Province,PROB,Michigan,995859.1161,914379.4424
5/2/2024,NGL_MI-10036,2012431,NGL20_MI-10092,1,8/21/2020,MI,Great Lakes,44.94403258,-85.84071469,30,,2020,2020,CORE,USA,Region_05,Target_Sampled,None,Lake Michigan,National Park,44.94403258,-85.84071469,Great Lakes,Sleeping_Bear,Great Lakes Province,PROB,Michigan,799116.1493,875460.5612
5/2/2024,NGL_OH-10009,2012441,NGL20_OH-10009,1,8/21/2020,OH,Great Lakes,41.77914601,-81.27131512,11.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.77914601,-81.27131512,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1210642.766,573421.4693
5/2/2024,NGL_MI-10070,2012457,NGL20_MI-10032,1,8/23/2020,MI,Great Lakes,45.96070878,-84.41915005,1,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.96070878,-84.41915005,Great Lakes,,Great Lakes Province,PROB,Michigan,896677.6779,1000415.487
5/2/2024,NGL_MI-10516,2012458,NGL20_MI-10048,1,8/23/2020,MI,Great Lakes,45.9310441,-84.3706022,2.7,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.9310441,-84.3706022,Great Lakes,,Great Lakes Province,PROB,Michigan,900819.8545,997606.0677
5/2/2024,NGL_MI-10044,2012466,NGL20_MI-10100,1,8/23/2020,MI,Great Lakes,45.09776195,-85.69919414,18,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,45.09776195,-85.69919414,Great Lakes,,Great Lakes Province,PROB,Michigan,808354.1397,893664.3086
5/2/2024,NGL_MI-10532,2012467,NGL20_MI-10064,1,8/24/2020,MI,Great Lakes,45.96185437,-84.25408846,13.9,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.96185437,-84.25408846,Great Lakes,,Great Lakes Province,PROB,Michigan,909377.6423,1002110.151
5/2/2024,NGL_NY-10030,2012464,NGL20_NY-10051,1,8/24/2020,NY,Great Lakes,43.38011486,-78.59546643,30.5,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.38011486,-78.59546643,Great Lakes,,Great Lakes Province,PROB,New York,1395724.93,786532.2595
