Site,Round,Date,Depth (m),Temp (C),DO %,DO (mg/L),Specific Conductivity (uS/cm),pH,Turbidity (NTU),PAR (AMB),PAR (UW)
14,1,6/23/21,1.0,15.4,108.1,10.5,107.7,7.6,0.7,1943.6,839.9
14,1,6/23/21,2.0,15.3,107.8,10.5,107.7,7.6,0.7,1939.2,697.5
14,1,6/23/21,3.0,14.8,107.5,10.6,107.6,7.6,0.8,1936.6,354.1
14,1,6/23/21,4.0,14.7,107.5,10.6,107.6,7.6,0.7,1940.8,379.6
14,1,6/23/21,5.0,14.6,107.4,10.6,107.6,7.7,0.7,1947.8,250.5
14,1,6/23/21,6.0,14.5,107.2,10.6,107.6,7.7,0.8,1923.1,151.6
14,1,6/23/21,7.0,14.5,107.0,10.6,107.6,7.7,0.8,1927.3,122.0
14,1,6/23/21,8.0,14.5,106.9,10.6,107.6,7.7,0.7,1947.7,95.7
14,1,6/23/21,9.0,NA,NA,NA,NA,NA,NA,1951.8,71.1
14,2,7/8/21,above,NA,NA,NA,NA,NA,NA,1870.4,2374.4
14,2,7/8/21,0.1,15.4,105.3,10.3,105.6,7.9,0.7,1875.0,2328.1
14,2,7/8/21,0.5,15.4,105.4,10.3,105.6,7.9,0.7,1852.4,839.6
14,2,7/8/21,1.0,15.4,105.4,10.3,105.6,7.9,0.7,1841.2,1018.7
14,2,7/8/21,2.0,15.3,105.2,10.3,105.5,7.8,0.7,1851.8,796.5
14,2,7/8/21,3.0,14.7,105.8,10.5,105.6,7.6,0.8,1876.8,550.8
14,2,7/8/21,4.0,13.8,108.5,11.0,104.9,7.5,1.1,1872.8,355.5
14,2,7/8/21,5.0,12.2,108.2,11.4,103.7,7.2,1.1,1870.3,298.6
14,2,7/8/21,6.0,11.2,108.4,11.7,103.4,7.2,0.9,1885.9,170.6
14,2,7/8/21,7.0,10.5,107.6,11.8,103.1,7.1,1.0,1891.7,126.9
14,3,7/19/21,above,NA,NA,NA,NA,NA,NA,1093.0,698.4
14,3,7/19/21,0.1,20.9,108.9,9.6,105.7,8.2,0.4,1094.4,539.5
14,3,7/19/21,0.5,20.9,108.9,9.6,105.8,8.2,0.4,1093.9,550.9
14,3,7/19/21,1.0,20.6,109.0,9.6,105.8,8.2,0.4,1095.4,478.3
14,3,7/19/21,2.0,20.4,108.9,9.6,105.8,8.1,0.5,1080.3,407.3
14,3,7/19/21,3.0,20.2,109.0,9.7,105.5,8.0,0.4,1089.4,328.2
14,3,7/19/21,4.0,20.1,109.4,9.8,105.5,7.9,0.5,1089.5,228.4
14,3,7/19/21,5.0,19.9,109.2,9.8,105.8,7.8,0.5,1107.9,174.6
14,3,7/19/21,6.0,19.1,109.9,10.0,104.9,7.7,0.5,1096.9,142.0
14,3,7/19/21,7.0,18.5,110.4,10.2,104.7,7.6,0.5,1076.5,108.8
14,3,7/19/21,8.0,18.2,111.3,10.3,104.5,7.6,0.5,1050.2,80.3
14,4,8/12/21,above,NA,NA,NA,NA,NA,NA,1673.8,2030.7
14,4,8/12/21,0.1,17.4,105.8,9.8,106.0,8.0,0.7,1686.5,1907.7
14,4,8/12/21,0.5,17.4,105.8,9.8,106.0,8.0,0.7,1748.8,1062.6
14,4,8/12/21,1.0,17.4,105.8,9.8,106.0,8.0,0.7,1693.3,1080.4
14,4,8/12/21,2.0,17.3,105.7,9.8,106.0,8.0,0.7,1683.0,770.8
14,4,8/12/21,3.0,17.3,105.8,9.8,106.0,7.9,0.7,1698.9,543.7
14,4,8/12/21,4.0,17.3,105.7,9.8,106.0,7.9,0.7,1756.8,463.3
14,4,8/12/21,5.0,17.2,105.7,9.8,106.0,7.8,0.7,1743.9,355.2
14,4,8/12/21,6.0,17.0,105.8,9.9,105.9,7.8,0.7,1734.3,243.6
14,4,8/12/21,7.0,16.9,106.1,9.9,106.0,7.7,0.8,1762.3,183.9
14,4,8/12/21,8.0,16.9,106.5,10.0,105.9,7.7,0.9,1792.9,136.3
14,4,8/12/21,8.5,NA,NA,NA,NA,NA,NA,1698.7,0.0
14,5,8/25/21,above,NA,NA,NA,NA,NA,NA,1830.2,2638.2
14,5,8/25/21,0.1,20.0,103.4,9.2,107.4,8.3,0.1,1816.3,1471.6
14,5,8/25/21,0.5,19.9,103.4,9.2,107.4,8.4,0.1,1791.2,1454.5
14,5,8/25/21,1.0,19.9,103.6,9.2,107.4,8.5,0.1,1751.3,1812.9
14,5,8/25/21,2.0,19.9,103.4,9.2,107.4,8.6,0.1,1750.5,478.3
14,5,8/25/21,3.0,19.8,103.5,9.3,107.3,8.6,0.1,1741.1,632.4
14,5,8/25/21,4.0,19.8,103.5,9.3,107.3,8.6,0.1,1759.1,533.0
14,5,8/25/21,5.0,19.7,103.4,9.3,107.3,8.5,0.1,1789.7,478.3
14,5,8/25/21,6.0,18.9,105.8,9.6,109.8,8.2,0.7,1809.9,399.7
15,1,6/23/21,above,NA,NA,NA,NA,NA,NA,1965.8,2865.5
15,1,6/23/21,0.1,16.5,109.7,10.4,107.8,7.8,0.5,1969.3,3076.1
15,1,6/23/21,0.5,16.4,109.4,10.4,107.8,7.8,0.6,1961.5,1975.6
15,1,6/23/21,1.0,16.2,109.2,10.4,107.8,7.8,0.5,1954.7,2215.9
15,1,6/23/21,2.0,15.4,108.5,10.5,107.6,7.7,0.6,1967.0,1075.0
15,1,6/23/21,3.0,15.0,108.2,10.6,107.5,7.7,0.6,1945.8,395.7
15,1,6/23/21,4.0,14.7,108.8,10.7,107.4,7.7,0.7,1973.1,311.8
15,1,6/23/21,5.0,NA,NA,NA,NA,NA,NA,1950.3,247.2
15,2,7/8/21,above,NA,NA,NA,NA,NA,NA,1635.7,1889.3
15,2,7/8/21,0.1,14.7,106.0,10.5,105.1,7.5,0.7,1630.6,285.5
15,2,7/8/21,0.5,14.7,106.1,10.5,105.1,7.5,0.8,1655.2,242.0
15,2,7/8/21,1.0,14.7,106.1,10.5,105.1,7.4,0.7,1613.1,195.9
15,2,7/8/21,2.0,14.7,106.1,10.5,105.1,7.4,0.7,1689.6,170.6
15,2,7/8/21,3.0,14.7,106.3,10.6,105.0,7.4,0.7,1663.1,135.0
15,2,7/8/21,4.0,8.8,106.7,12.2,102.6,7.1,2.4,1716.5,182.7
15,3,7/19/21,above,NA,NA,NA,NA,NA,NA,882.5,770.3
15,3,7/19/21,0.1,20.2,108.4,9.6,105.4,8.2,0.4,891.1,565.6
15,3,7/19/21,0.5,20.2,108.5,9.7,105.5,8.0,0.4,893.4,570.4
15,3,7/19/21,1.0,20.2,108.6,9.7,105.5,7.9,0.4,905.8,458.6
15,3,7/19/21,2.0,20.1,108.8,9.7,105.5,7.8,0.4,908.7,311.8
15,3,7/19/21,3.0,20.1,108.7,9.7,105.5,7.8,0.4,924.0,242.3
15,3,7/19/21,4.0,20.0,110.5,9.9,105.4,7.7,0.6,921.2,187.0
15,3,7/19/21,4.5,NA,NA,NA,NA,NA,NA,1061.1,228.5
15,4,8/12/21,above,NA,NA,NA,NA,NA,NA,1783.2,2352.7
15,4,8/12/21,0.1,17.1,106.5,9.9,105.1,7.9,1.2,1867.8,1971.2
15,4,8/12/21,0.5,17.1,106.6,9.9,105.9,7.9,0.7,1752.8,1126.2
15,4,8/12/21,1.0,17.1,106.7,9.9,105.9,7.9,0.7,1794.5,1086.1
15,4,8/12/21,2.0,17.1,106.6,9.9,105.9,7.9,0.7,1771.0,1043.4
15,4,8/12/21,3.0,17.0,106.6,9.9,105.9,7.9,0.7,1826.2,810.4
15,4,8/12/21,4.0,17.0,106.8,10.0,105.9,7.9,0.7,1812.8,478.3
15,4,8/12/21,4.8,17.0,107.1,10.0,105.9,7.9,0.7,1773.4,478.3
15,5,8/25/21,above,NA,NA,NA,NA,NA,NA,1818.3,2543.3
15,5,8/25/21,0.1,19.4,104.6,9.4,106.9,8.7,0.1,1804.7,1370.3
15,5,8/25/21,0.5,19.4,104.6,9.4,106.9,8.5,0.1,1811.1,744.2
15,5,8/25/21,1.0,19.4,104.6,9.4,106.9,8.4,0.1,1782.8,733.0
15,5,8/25/21,2.0,19.4,104.6,9.4,106.9,8.2,0.1,1775.1,710.2
15,5,8/25/21,3.0,19.3,104.8,9.5,106.9,8.1,0.1,1774.8,629.2
15,5,8/25/21,4.0,19.2,104.8,9.5,106.8,8.0,0.1,1728.0,583.9
