,,Discharge.Daily@NF2I,Discharge.Daily@NF2I,Discharge.Daily@NF2I,Discharge.Daily@NF2I
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
4/5/16,0:00:00,11.68736987,51,,8
4/6/16,0:00:00,12.59281104,51,,8
4/7/16,0:00:00,18.86176925,51,,8
4/8/16,0:00:00,24.41600747,51,,8
4/9/16,0:00:00,16.89060511,51,,8
4/10/16,0:00:00,42.48703261,51,,8
4/11/16,0:00:00,56.49627841,51,,8
4/12/16,0:00:00,28.32184319,51,,8
4/13/16,0:00:00,24.64261737,51,,8
4/14/16,0:00:00,22.10699267,31,,8
4/15/16,0:00:00,17.94371115,31,,8
4/16/16,0:00:00,13.75526659,31,,8
4/17/16,0:00:00,10.97771261,31,,8
4/18/16,0:00:00,8.544263658,31,,8
4/19/16,0:00:00,7.302260341,31,,8
4/20/16,0:00:00,6.557237932,31,,8
4/21/16,0:00:00,6.900754002,31,,8
4/22/16,0:00:00,6.31860264,31,,8
4/23/16,0:00:00,5.187559419,31,,8
4/24/16,0:00:00,13.21790042,31,,8
4/25/16,0:00:00,166.7578308,31,,8
4/26/16,0:00:00,96.60132561,31,,8
4/27/16,0:00:00,35.05359917,31,,8
4/28/16,0:00:00,18.75882753,31,,8
4/29/16,0:00:00,12.94375083,31,,8
4/30/16,0:00:00,9.001821441,31,,8
5/1/16,0:00:00,6.888036452,31,,8
5/2/16,0:00:00,5.791096684,31,,8
5/3/16,0:00:00,5.213769287,31,,8
5/4/16,0:00:00,4.30605126,31,,8
5/5/16,0:00:00,3.874161957,31,,8
5/6/16,0:00:00,4.296712907,31,,8
5/7/16,0:00:00,4.484963204,31,,8
5/8/16,0:00:00,3.657439871,31,,8
5/9/16,0:00:00,3.02846965,31,,8
5/10/16,0:00:00,2.832888475,31,,8
5/11/16,0:00:00,4.429019495,31,,8
5/12/16,0:00:00,9.785981495,31,,8
5/13/16,0:00:00,8.486673888,31,,8
5/14/16,0:00:00,6.001914649,31,,8
5/15/16,0:00:00,4.773080406,31,,8
5/16/16,0:00:00,4.253872092,31,,8
5/17/16,0:00:00,3.584132192,31,,8
5/18/16,0:00:00,3.130791457,31,,8
5/19/16,0:00:00,2.732324211,31,,8
5/20/16,0:00:00,2.542189535,31,,8
5/21/16,0:00:00,2.3860379,31,,8
5/22/16,0:00:00,2.312147424,31,,8
5/23/16,0:00:00,5.374221022,31,,8
5/24/16,0:00:00,128.2233108,31,,8
5/25/16,0:00:00,62.57219542,31,,8
5/26/16,0:00:00,105.7939567,31,,8
5/27/16,0:00:00,39.23676477,31,,8
5/28/16,0:00:00,38.30015746,31,,8
5/29/16,0:00:00,28.16564185,31,,8
5/30/16,0:00:00,16.4593266,31,,8
5/31/16,0:00:00,9.750427528,31,,8
6/1/16,0:00:00,8.599135166,31,,8
6/2/16,0:00:00,6.427845002,31,,8
6/3/16,0:00:00,5.068734506,31,,8
6/4/16,0:00:00,12.7263796,31,,8
6/5/16,0:00:00,19.1524143,31,,8
6/6/16,0:00:00,17.94731693,31,,8
6/7/16,0:00:00,10.50054165,31,,8
6/8/16,0:00:00,6.351426559,31,,8
6/9/16,0:00:00,4.561879651,31,,8
6/10/16,0:00:00,5.995483094,31,,8
6/11/16,0:00:00,6.795261917,31,,8
6/12/16,0:00:00,4.081884339,31,,8
6/13/16,0:00:00,9.316718515,31,,8
6/14/16,0:00:00,6.342276291,31,,8
6/15/16,0:00:00,33.77484388,11,,8
6/16/16,0:00:00,29.33502357,31,,8
6/17/16,0:00:00,13.93900905,31,,8
6/18/16,0:00:00,7.908553019,31,,8
6/19/16,0:00:00,6.030354267,31,,8
6/20/16,0:00:00,5.282094273,31,,8
6/21/16,0:00:00,4.083653354,31,,8
6/22/16,0:00:00,3.31136271,31,,8
6/23/16,0:00:00,3.190937977,31,,8
6/24/16,0:00:00,3.012450629,31,,8
6/25/16,0:00:00,3.059237428,31,,8
6/26/16,0:00:00,3.963724916,31,,8
6/27/16,0:00:00,2.894534433,31,,8
6/28/16,0:00:00,2.521813818,31,,8
6/29/16,0:00:00,2.371841515,31,,8
6/30/16,0:00:00,3.158653938,31,,8
7/1/16,0:00:00,2.744295882,31,,8
7/2/16,0:00:00,2.606467525,31,,8
7/3/16,0:00:00,2.380043281,31,,8
7/4/16,0:00:00,2.216761402,31,,8
7/5/16,0:00:00,2.120008249,31,,8
7/6/16,0:00:00,2.118619184,31,,8
7/7/16,0:00:00,1.90607464,31,,8
7/8/16,0:00:00,3.13499842,31,,8
7/9/16,0:00:00,2.330176593,31,,8
7/10/16,0:00:00,2.045930735,31,,8
7/11/16,0:00:00,116.843687,31,,8
7/12/16,0:00:00,586.0356172,31,,8
7/13/16,0:00:00,89.80332775,31,,8
7/14/16,0:00:00,34.59634,31,,8
7/15/16,0:00:00,17.24374163,31,,8
7/16/16,0:00:00,12.26972018,31,,8
7/17/16,0:00:00,10.43802678,31,,8
7/18/16,0:00:00,4.78115857,31,,8
7/19/16,0:00:00,3.253861209,31,,8
7/20/16,0:00:00,2.777626427,31,,8
7/21/16,0:00:00,3.848800021,31,,8
7/22/16,0:00:00,3.7143682,31,,8
7/23/16,0:00:00,2.704457975,31,,8
7/24/16,0:00:00,2.643591863,31,,8
7/25/16,0:00:00,2.40245254,31,,8
7/26/16,0:00:00,2.118824992,31,,8
7/27/16,0:00:00,2.091928507,31,,8
7/28/16,0:00:00,1.837922791,31,,8
7/29/16,0:00:00,1.612581541,51,,8
7/30/16,0:00:00,1.49670329,51,,8
7/31/16,0:00:00,1.473229778,51,,8
8/1/16,0:00:00,1.502416941,51,,8
8/2/16,0:00:00,2.080056589,51,,8
8/3/16,0:00:00,2.012929487,51,,8
8/4/16,0:00:00,1.819214048,51,,8
8/5/16,0:00:00,1.872194621,51,,8
8/6/16,0:00:00,1.812407484,51,,8
8/7/16,0:00:00,1.738975576,51,,8
8/8/16,0:00:00,1.699708249,51,,8
8/9/16,0:00:00,1.709685814,51,,8
8/10/16,0:00:00,1.983232161,51,,8
8/11/16,0:00:00,2.038575259,51,,8
8/12/16,0:00:00,1.900209382,51,,8
8/13/16,0:00:00,1.973943587,51,,8
8/14/16,0:00:00,1.870900313,51,,8
8/15/16,0:00:00,1.78324485,51,,8
8/16/16,0:00:00,1.73908205,51,,8
8/17/16,0:00:00,1.717258405,51,,8
8/18/16,0:00:00,1.745073432,51,,8
8/19/16,0:00:00,1.894728593,51,,8
8/20/16,0:00:00,2.655955407,51,,8
8/21/16,0:00:00,2.44867821,51,,8
8/22/16,0:00:00,1.623020795,51,,8
8/23/16,0:00:00,1.720202094,11,,8
8/24/16,0:00:00,1.905038826,51,,8
8/25/16,0:00:00,1.826012856,51,,8
8/26/16,0:00:00,1.709016231,51,,8
8/27/16,0:00:00,1.725784884,51,,8
8/28/16,0:00:00,1.740787053,51,,8
8/29/16,0:00:00,2.123658788,51,,8
8/30/16,0:00:00,2.182512902,51,,8
8/31/16,0:00:00,2.009720103,51,,8
9/1/16,0:00:00,2.013024155,51,,8
9/2/16,0:00:00,1.921732828,51,,8
9/3/16,0:00:00,1.882892914,51,,8
9/4/16,0:00:00,1.711435413,51,,8
9/5/16,0:00:00,3.104924008,51,,8
9/6/16,0:00:00,14.79796602,51,,8
9/7/16,0:00:00,14.14331914,51,,8
9/8/16,0:00:00,9.206072776,51,,8
9/9/16,0:00:00,6.262988492,51,,8
9/10/16,0:00:00,4.563730393,51,,8
9/11/16,0:00:00,3.871410562,51,,8
9/12/16,0:00:00,3.093432529,51,,8
9/13/16,0:00:00,2.705592012,51,,8
9/14/16,0:00:00,2.376645823,51,,8
9/15/16,0:00:00,2.182103534,51,,8
9/16/16,0:00:00,2.23253723,51,,8
9/17/16,0:00:00,2.729614691,51,,8
9/18/16,0:00:00,2.333845292,51,,8
9/19/16,0:00:00,2.218278271,51,,8
9/20/16,0:00:00,2.128970846,51,,8
9/21/16,0:00:00,2.145366715,51,,8
9/22/16,0:00:00,4.897552535,51,,8
9/23/16,0:00:00,5.513914511,51,,8
9/24/16,0:00:00,3.058935414,51,,8
9/25/16,0:00:00,2.380969327,51,,8
9/26/16,0:00:00,2.548450398,51,,8
9/27/16,0:00:00,3.810819676,51,,8
9/28/16,0:00:00,3.786063023,51,,8
9/29/16,0:00:00,2.81971818,51,,8
9/30/16,0:00:00,2.074410996,51,,8
10/1/16,0:00:00,4.676930683,51,,8
10/2/16,0:00:00,2.489639397,51,,8
10/3/16,0:00:00,1.927211111,51,,8
10/4/16,0:00:00,1.794414462,51,,8
10/5/16,0:00:00,1.900185403,51,,8
10/6/16,0:00:00,1.853888693,51,,8
10/7/16,0:00:00,7.533781958,51,,8
10/8/16,0:00:00,9.350679287,51,,8
10/9/16,0:00:00,5.403091768,51,,8
10/10/16,0:00:00,4.189207549,51,,8
10/11/16,0:00:00,7.422878991,51,,8
10/12/16,0:00:00,4.947216029,51,,8
10/13/16,0:00:00,2.479325278,51,,8
10/14/16,0:00:00,2.319816456,51,,8
10/15/16,0:00:00,2.495005621,51,,8
10/16/16,0:00:00,2.073672901,51,,8
10/17/16,0:00:00,4.203842521,51,,8
10/18/16,0:00:00,4.573143261,51,,8
10/19/16,0:00:00,4.796469923,51,,8
10/20/16,0:00:00,4.183220833,51,,8
10/21/16,0:00:00,3.45301669,51,,8
10/22/16,0:00:00,2.765375383,51,,8
10/23/16,0:00:00,2.477383015,51,,8
10/24/16,0:00:00,2.385019915,51,,8
10/25/16,0:00:00,1.871371512,51,,8
10/26/16,0:00:00,1.666584398,51,,8
10/27/16,0:00:00,1.801634268,51,,8
10/28/16,0:00:00,1.793292157,51,,8
10/29/16,0:00:00,1.778625964,51,,8
10/30/16,0:00:00,1.98977075,51,,8
10/31/16,0:00:00,1.863032047,51,,8
11/1/16,0:00:00,1.987171836,51,,8
11/2/16,0:00:00,6.647531519,51,,8
11/3/16,0:00:00,2.655593806,51,,8
11/4/16,0:00:00,2.094841186,51,,8
11/5/16,0:00:00,1.98974048,51,,8
11/6/16,0:00:00,1.862758365,51,,8
11/7/16,0:00:00,3.304968651,51,,8
