,,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
12/3/14,0:00:00,0,21,,8
12/4/14,0:00:00,0,21,,8
12/5/14,0:00:00,0,21,,8
12/6/14,0:00:00,0,21,,8
12/7/14,0:00:00,0,21,,8
12/8/14,0:00:00,0,21,,8
12/9/14,0:00:00,0,21,,8
12/10/14,0:00:00,0,21,,8
12/11/14,0:00:00,0,21,,8
12/12/14,0:00:00,0,21,,8
12/13/14,0:00:00,0.1,21,,8
12/14/14,0:00:00,3.1,21,,8
12/15/14,0:00:00,16.9,21,,8
12/16/14,0:00:00,10.6,21,,8
12/17/14,0:00:00,4.5,21,,8
12/18/14,0:00:00,1.8,21,,8
12/19/14,0:00:00,0.8,21,,8
12/20/14,0:00:00,0.5,21,,8
12/21/14,0:00:00,0.4,21,,8
12/22/14,0:00:00,0.6,21,,8
12/23/14,0:00:00,1.5,21,,8
12/24/14,0:00:00,1.4,21,,8
12/25/14,0:00:00,1.3,21,,8
12/26/14,0:00:00,0.8,21,,8
12/27/14,0:00:00,0.6,21,,8
12/28/14,0:00:00,0.4,21,,8
12/29/14,0:00:00,0.2,21,,8
12/30/14,0:00:00,,,,8
12/31/14,0:00:00,,,,8
1/1/15,0:00:00,,,,8
1/2/15,0:00:00,,,,8
1/3/15,0:00:00,,,,8
1/4/15,0:00:00,,,,8
1/5/15,0:00:00,,,,8
1/6/15,0:00:00,,,,8
1/7/15,0:00:00,,,,8
1/8/15,0:00:00,,,,8
1/9/15,0:00:00,,,,8
1/10/15,0:00:00,,,,8
1/11/15,0:00:00,,,,8
1/12/15,0:00:00,,,,8
1/13/15,0:00:00,,,,8
1/14/15,0:00:00,,,,8
1/15/15,0:00:00,,,,8
1/16/15,0:00:00,,,,8
1/17/15,0:00:00,,,,8
1/18/15,0:00:00,,,,8
1/19/15,0:00:00,,,,8
1/20/15,0:00:00,,,,8
1/21/15,0:00:00,,,,8
1/22/15,0:00:00,,,,8
1/23/15,0:00:00,,,,8
1/24/15,0:00:00,,,,8
1/25/15,0:00:00,,,,8
1/26/15,0:00:00,,,,8
1/27/15,0:00:00,,,,8
1/28/15,0:00:00,,,,8
1/29/15,0:00:00,,,,8
1/30/15,0:00:00,,,,8
1/31/15,0:00:00,,,,8
2/1/15,0:00:00,,,,8
2/2/15,0:00:00,,,,8
2/3/15,0:00:00,,,,8
2/4/15,0:00:00,,,,8
2/5/15,0:00:00,,,,8
2/6/15,0:00:00,,,,8
2/7/15,0:00:00,,,,8
2/8/15,0:00:00,,,,8
2/9/15,0:00:00,,,,8
2/10/15,0:00:00,,,,8
2/11/15,0:00:00,,,,8
2/12/15,0:00:00,,,,8
2/13/15,0:00:00,,,,8
2/14/15,0:00:00,,,,8
2/15/15,0:00:00,,,,8
2/16/15,0:00:00,,,,8
2/17/15,0:00:00,,,,8
2/18/15,0:00:00,,,,8
2/19/15,0:00:00,,,,8
2/20/15,0:00:00,,,,8
2/21/15,0:00:00,,,,8
2/22/15,0:00:00,,,,8
2/23/15,0:00:00,,,,8
2/24/15,0:00:00,,,,8
2/25/15,0:00:00,,,,8
2/26/15,0:00:00,,,,8
2/27/15,0:00:00,,,,8
2/28/15,0:00:00,,,,8
3/1/15,0:00:00,,,,8
3/2/15,0:00:00,,,,8
3/3/15,0:00:00,,,,8
3/4/15,0:00:00,,,,8
3/5/15,0:00:00,,,,8
3/6/15,0:00:00,,,,8
3/7/15,0:00:00,,,,8
3/8/15,0:00:00,,,,8
3/9/15,0:00:00,,,,8
3/10/15,0:00:00,,,,8
3/11/15,0:00:00,,,,8
3/12/15,0:00:00,,,,8
3/13/15,0:00:00,,,,8
3/14/15,0:00:00,,,,8
3/15/15,0:00:00,,,,8
3/16/15,0:00:00,10.9,21,,8
3/17/15,0:00:00,9.9,21,,8
3/18/15,0:00:00,8.3,21,,8
3/19/15,0:00:00,6.2,21,,8
3/20/15,0:00:00,4.7,21,,8
3/21/15,0:00:00,5.8,21,,8
3/22/15,0:00:00,4.3,21,,8
3/23/15,0:00:00,3.2,21,,8
3/24/15,0:00:00,2.1,21,,8
3/25/15,0:00:00,1.7,21,,8
3/26/15,0:00:00,1.6,21,,8
3/27/15,0:00:00,0.9,21,,8
3/28/15,0:00:00,0.3,21,,8
3/29/15,0:00:00,0.6,21,,8
3/30/15,0:00:00,1.5,21,,8
3/31/15,0:00:00,1.6,21,,8
4/1/15,0:00:00,1.3,21,,8
4/2/15,0:00:00,2,21,,8
4/3/15,0:00:00,1.6,21,,8
4/4/15,0:00:00,0.9,21,,8
4/5/15,0:00:00,0.6,21,,8
4/6/15,0:00:00,0.4,21,,8
4/7/15,0:00:00,0.3,21,,8
4/8/15,0:00:00,0.3,21,,8
4/9/15,0:00:00,0.4,21,,8
4/10/15,0:00:00,0.6,21,,8
4/11/15,0:00:00,0.5,21,,8
4/12/15,0:00:00,0.3,21,,8
4/13/15,0:00:00,1.5,31,,8
4/14/15,0:00:00,1,31,,8
4/15/15,0:00:00,0.6,31,,8
4/16/15,0:00:00,0.4,31,,8
4/17/15,0:00:00,0.4,31,,8
4/18/15,0:00:00,0.3,31,,8
4/19/15,0:00:00,0.5,31,,8
4/20/15,0:00:00,2.8,31,,8
4/21/15,0:00:00,1.8,31,,8
4/22/15,0:00:00,1.3,31,,8
4/23/15,0:00:00,0.9,31,,8
4/24/15,0:00:00,0.5,31,,8
4/25/15,0:00:00,0.3,31,,8
4/26/15,0:00:00,0.2,31,,8
4/27/15,0:00:00,0.1,31,,8
4/28/15,0:00:00,0.1,31,,8
