,,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
6/6/16,0:00:00,1.1,21,,8
6/7/16,0:00:00,0.4,21,,8
6/8/16,0:00:00,0.2,21,,8
6/9/16,0:00:00,0.1,21,,8
6/10/16,0:00:00,0.3,21,,8
6/11/16,0:00:00,0.4,21,,8
6/12/16,0:00:00,0.1,21,,8
6/13/16,0:00:00,0.4,21,,8
6/14/16,0:00:00,0.3,21,,8
6/15/16,0:00:00,6.9,21,,8
6/16/16,0:00:00,3.5,31,,8
6/17/16,0:00:00,0.8,31,,8
6/18/16,0:00:00,0.3,31,,8
6/19/16,0:00:00,0.2,31,,8
6/20/16,0:00:00,0.1,31,,8
6/21/16,0:00:00,0.1,31,,8
6/22/16,0:00:00,0,31,,8
6/23/16,0:00:00,0.1,31,,8
6/24/16,0:00:00,0,31,,8
6/25/16,0:00:00,0.1,31,,8
6/26/16,0:00:00,0.1,31,,8
6/27/16,0:00:00,0,31,,8
6/28/16,0:00:00,0,31,,8
6/29/16,0:00:00,0,31,,8
6/30/16,0:00:00,0.1,31,,8
7/1/16,0:00:00,0,31,,8
7/2/16,0:00:00,0,31,,8
7/3/16,0:00:00,0,31,,8
7/4/16,0:00:00,0,31,,8
7/5/16,0:00:00,0,31,,8
7/6/16,0:00:00,0,31,,8
7/7/16,0:00:00,0,31,,8
7/8/16,0:00:00,0,31,,8
7/9/16,0:00:00,0,31,,8
7/10/16,0:00:00,0,31,,8
7/11/16,0:00:00,62.9,31,,8
7/12/16,0:00:00,33.8,31,,8
7/13/16,0:00:00,1.1,31,,8
7/14/16,0:00:00,0.7,31,,8
7/15/16,0:00:00,0.3,31,,8
7/16/16,0:00:00,0.1,31,,8
7/17/16,0:00:00,0.1,31,,8
7/18/16,0:00:00,0,31,,8
7/19/16,0:00:00,0,31,,8
7/20/16,0:00:00,0,31,,8
7/21/16,0:00:00,0.1,31,,8
7/22/16,0:00:00,0,31,,8
7/23/16,0:00:00,0,31,,8
7/24/16,0:00:00,0,31,,8
7/25/16,0:00:00,0,31,,8
7/26/16,0:00:00,0,31,,8
7/27/16,0:00:00,0,31,,8
7/28/16,0:00:00,0,31,,8
7/29/16,0:00:00,0,31,,8
7/30/16,0:00:00,0,31,,8
7/31/16,0:00:00,0,31,,8
8/1/16,0:00:00,0,31,,8
8/2/16,0:00:00,0.1,31,,8
8/3/16,0:00:00,0,31,,8
8/4/16,0:00:00,0,31,,8
8/5/16,0:00:00,0,31,,8
8/6/16,0:00:00,0,31,,8
8/7/16,0:00:00,0,31,,8
8/8/16,0:00:00,0,31,,8
8/9/16,0:00:00,0,31,,8
8/10/16,0:00:00,0,31,,8
8/11/16,0:00:00,0,31,,8
8/12/16,0:00:00,0,31,,8
8/13/16,0:00:00,0,31,,8
8/14/16,0:00:00,0,31,,8
8/15/16,0:00:00,0,31,,8
8/16/16,0:00:00,0,31,,8
8/17/16,0:00:00,0,31,,8
8/18/16,0:00:00,0,31,,8
8/19/16,0:00:00,0,31,,8
8/20/16,0:00:00,0.1,31,,8
8/21/16,0:00:00,0.1,31,,8
8/22/16,0:00:00,0,31,,8
8/23/16,0:00:00,0,21,,8
8/24/16,0:00:00,0,21,,8
8/25/16,0:00:00,0,21,,8
8/26/16,0:00:00,0,21,,8
8/27/16,0:00:00,0,21,,8
8/28/16,0:00:00,0,21,,8
8/29/16,0:00:00,0,21,,8
8/30/16,0:00:00,0,21,,8
8/31/16,0:00:00,0,21,,8
9/1/16,0:00:00,0,21,,8
9/2/16,0:00:00,0,21,,8
9/3/16,0:00:00,0,21,,8
9/4/16,0:00:00,0,21,,8
9/5/16,0:00:00,0.1,21,,8
9/6/16,0:00:00,1.7,21,,8
9/7/16,0:00:00,0.2,21,,8
9/8/16,0:00:00,0.1,21,,8
9/9/16,0:00:00,0,21,,8
9/10/16,0:00:00,0,21,,8
9/11/16,0:00:00,0,21,,8
9/12/16,0:00:00,0,21,,8
9/13/16,0:00:00,0,21,,8
9/14/16,0:00:00,0,21,,8
9/15/16,0:00:00,0,21,,8
9/16/16,0:00:00,0,21,,8
9/17/16,0:00:00,0,21,,8
9/18/16,0:00:00,0,21,,8
9/19/16,0:00:00,0,21,,8
9/20/16,0:00:00,0,21,,8
9/21/16,0:00:00,0,21,,8
9/22/16,0:00:00,0,21,,8
9/23/16,0:00:00,0,21,,8
9/24/16,0:00:00,0,21,,8
9/25/16,0:00:00,0,21,,8
9/26/16,0:00:00,0,21,,8
9/27/16,0:00:00,0.1,21,,8
9/28/16,0:00:00,0,21,,8
9/29/16,0:00:00,0,21,,8
9/30/16,0:00:00,0,21,,8
10/1/16,0:00:00,0,21,,8
10/2/16,0:00:00,0,21,,8
10/3/16,0:00:00,0,21,,8
10/4/16,0:00:00,0,21,,8
10/5/16,0:00:00,0,21,,8
10/6/16,0:00:00,0,21,,8
10/7/16,0:00:00,0.8,21,,8
10/8/16,0:00:00,0.1,21,,8
10/9/16,0:00:00,0,21,,8
10/10/16,0:00:00,0,21,,8
10/11/16,0:00:00,0,21,,8
10/12/16,0:00:00,0,21,,8
10/13/16,0:00:00,0,21,,8
10/14/16,0:00:00,0,21,,8
10/15/16,0:00:00,0,21,,8
10/16/16,0:00:00,0,21,,8
10/17/16,0:00:00,0.1,21,,8
10/18/16,0:00:00,0,21,,8
10/19/16,0:00:00,0,21,,8
10/20/16,0:00:00,0,21,,8
10/21/16,0:00:00,0,21,,8
10/22/16,0:00:00,0,21,,8
10/23/16,0:00:00,0,21,,8
10/24/16,0:00:00,0,21,,8
10/25/16,0:00:00,0,21,,8
10/26/16,0:00:00,0,21,,8
10/27/16,0:00:00,0,21,,8
10/28/16,0:00:00,0,21,,8
10/29/16,0:00:00,0,21,,8
10/30/16,0:00:00,0,21,,8
10/31/16,0:00:00,0,21,,8
11/1/16,0:00:00,0,21,,8
11/2/16,0:00:00,0,21,,8
11/3/16,0:00:00,0,21,,8
11/4/16,0:00:00,0,21,,8
11/5/16,0:00:00,0,21,,8
11/6/16,0:00:00,0,21,,8
11/7/16,0:00:00,0,21,,8
11/8/16,0:00:00,0,21,,8
11/9/16,0:00:00,0,21,,8
11/10/16,0:00:00,0,21,,8
11/11/16,0:00:00,0,21,,8
11/12/16,0:00:00,0,21,,8
11/13/16,0:00:00,0,21,,8
11/14/16,0:00:00,0,21,,8
11/15/16,0:00:00,0,21,,8
