Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC
yyyy-mm-dd	HH:MM:SS	ft^3/s			
Date	Time	Value	Grade	Approval	InterpolationCode
9/3/2015	0:00:00	0.007590144	51		8
9/4/2015	0:00:00	0.006864583	51		8
9/5/2015	0:00:00	0.00639984	51		8
9/6/2015	0:00:00	0.006864583	51		8
9/7/2015	0:00:00	0.013657679	51		8
9/8/2015	0:00:00	0.006586939	51		8
9/9/2015	0:00:00	0.006000401	51		8
9/10/2015	0:00:00	0.00683734	51		8
9/11/2015	0:00:00	0.005995994	51		8
9/12/2015	0:00:00	0.005600962	51		8
9/13/2015	0:00:00	0.005678285	51		8
9/14/2015	0:00:00	0.006620994	51		8
9/15/2015	0:00:00	0.006925881	51		8
9/16/2015	0:00:00	0.006766426	51		8
9/17/2015	0:00:00	0.007199119	51		8
9/18/2015	0:00:00	0.00728726	51		8
9/19/2015	0:00:00	0.006778846	51		8
9/20/2015	0:00:00	0.00644992	51		8
9/21/2015	0:00:00	0.006448221	51		8
9/22/2015	0:00:00	0.006417095	51		8
9/23/2015	0:00:00	0.00532778	51		8
9/24/2015	0:00:00	0.006514506	51		8
9/25/2015	0:00:00	0.005066617	51		8
9/26/2015	0:00:00	0.00546408	51		8
9/27/2015	0:00:00	0.00567805	51		8
9/28/2015	0:00:00	0.015166278	51		8
9/29/2015	0:00:00	0.005347977	51		8
9/30/2015	0:00:00	0.005617236	51		8
10/1/2015	0:00:00	0.005467023	51		8
10/2/2015	0:00:00	0.005241089	51		8
10/3/2015	0:00:00	0.005421005	51		8
10/4/2015	0:00:00	0.004962298	51		8
10/5/2015	0:00:00	0.00535856	51		8
10/6/2015	0:00:00	0.005611793	51		8
10/7/2015	0:00:00	0.005290506	51		8
10/8/2015	0:00:00	0.006946629	51		8
10/9/2015	0:00:00	0.013309411	51		8
10/10/2015	0:00:00	0.006734499	51		8
10/11/2015	0:00:00	0.006770985	51		8
10/12/2015	0:00:00	0.008172455	51		8
10/13/2015	0:00:00	0.007397643	51		8
10/14/2015	0:00:00	0.006564738	51		8
10/15/2015	0:00:00	0.007027506	51		8
10/16/2015	0:00:00	0.006776732	51		8
10/17/2015	0:00:00	0.006180206	51		8
10/18/2015	0:00:00	0.006641371	51		8
10/19/2015	0:00:00	0.007020004	51		8
10/20/2015	0:00:00	na		51		8
10/21/2015	0:00:00	na		na		8
10/22/2015	0:00:00	na		11		8
10/23/2015	0:00:00	0.006543626	11		8
10/24/2015	0:00:00	0.009467	11		8
10/25/2015	0:00:00	0.006747956	11		8
10/26/2015	0:00:00	0.008576183	11		8
10/27/2015	0:00:00	0.007707495	11		8
10/28/2015	0:00:00	0.022065417	11		8
10/29/2015	0:00:00	0.011287624	11		8
10/30/2015	0:00:00	0.009086825	11		8
10/31/2015	0:00:00	0.013817744	11		8
11/1/2015	0:00:00	0.017923051	11		8
11/2/2015	0:00:00	0.014845412	11		8
11/3/2015	0:00:00	0.010180019	11		8
11/4/2015	0:00:00	0.011313733	11		8
11/5/2015	0:00:00	0.011684863	11		8
11/6/2015	0:00:00	0.01205909	11		8
11/7/2015	0:00:00	0.011140126	11		8
11/8/2015	0:00:00	0.010575138	11		8
11/9/2015	0:00:00	0.012664827	11		8
11/10/2015	0:00:00	0.023711044	11		8
11/11/2015	0:00:00	0.020206178	11		8
11/12/2015	0:00:00	22.30945899	11		8
11/13/2015	0:00:00	9.537035087	11		8
11/14/2015	0:00:00	3.641777394	11		8
11/15/2015	0:00:00	2.913977392	11		8
11/16/2015	0:00:00	1.870466535	11		8
11/17/2015	0:00:00	1.849984333	11		8
11/18/2015	0:00:00	4.083138817	11		8
11/19/2015	0:00:00	3.739013509	11		8
11/20/2015	0:00:00	1.330808136	3		8
11/21/2015	0:00:00	0.610076105	3		8
11/22/2015	0:00:00	0.285672277	3		8
11/23/2015	0:00:00	0.2733636	3		8
11/24/2015	0:00:00	0.257271262	3		8
11/25/2015	0:00:00	0.255578522	3		8
11/26/2015	0:00:00	0.272020389	3		8
11/27/2015	0:00:00	0.208589346	3		8
11/28/2015	0:00:00	0.141669746	3		8
11/29/2015	0:00:00	0.101316022	3		8
11/30/2015	0:00:00	0.089578643	3		8
12/1/2015	0:00:00	0.276628062	3		8
12/2/2015	0:00:00	0.714098113	3		8
